,Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Matches,LgRank,MP,Matches,Playing Time : MP,Matches
8863,Jose Martinez,2017-2018,24,Barcelona B,es ESP,2. La Liga 2,22,21,1743,19.4,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.3,27,92,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,
8864,Jose Martinez,2018-2019,25,Granada,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8865,Jose Martinez,2019-2020,26,Granada,es ESP,Copa del Rey,1,1,120,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8866,Jose Martinez,2020-2021,27,Eibar,es ESP,1. La Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
8870,Jose Martinez,2024-2025,31,Córdoba,es ESP,Copa del Rey,1,0,34,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8882,Dimitri Foulquier,2011-2012,18,Rennes,,2. Europa Lg,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8883,Dimitri Foulquier,2012-2013,19,Rennes,fr FRA,1. Ligue 1,15,8,796,8.8,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8884,Dimitri Foulquier,2013-2014,20,Granada,es ESP,1. La Liga,24,9,1145,12.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8885,Dimitri Foulquier,2014-2015,21,Granada,es ESP,Copa del Rey,2,2,180,2.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8886,Dimitri Foulquier,2015-2016,22,Granada,es ESP,Copa del Rey,3,1,129,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8887,Dimitri Foulquier,2016-2017,23,Granada,es ESP,1. La Liga,22,21,1873,20.8,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.10,0.10,0.00,0.10,,,,,,Matches,,,,,,
8888,Dimitri Foulquier,2017-2018,24,Strasbourg,fr FRA,Coupe de France,2,2,173,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8889,Dimitri Foulquier,2018-2019,25,Getafe,es ESP,Copa del Rey,4,3,283,3.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8890,Dimitri Foulquier,2019-2020,26,Granada,es ESP,Copa del Rey,4,4,414,4.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8891,Dimitri Foulquier,2020-2021,27,Granada,es ESP,Copa del Rey,4,1,252,2.8,1,1,2,1,0,0,0,0,,,,,,,,0.36,0.36,0.71,0.36,0.71,,,,,,Matches,,,,,,
8892,Dimitri Foulquier,2021-2022,28,Valencia,es ESP,Copa del Rey,7,6,536,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8893,Dimitri Foulquier,2022-2023,29,Valencia,es ESP,Copa del Rey,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8894,Dimitri Foulquier,2023-2024,30,Valencia,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8895,Dimitri Foulquier,2024-2025,31,Valencia,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
8916,Angel Montoro,2012-2013,24,Recreativo,es ESP,2. La Liga 2,22,19,1549,17.2,0,1,1,0,0,0,9,1,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,,,,,,,
8917,Angel Montoro,2013-2014,25,Recreativo,es ESP,2. La Liga 2,39,37,3100,34.4,6,6,12,6,0,0,15,1,,,,,,,,0.17,0.17,0.35,0.17,0.35,,,,,,,,,,,,
8918,Angel Montoro,2014-2015,26,Recreativo,es ESP,Copa del Rey,1,1,75,0.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8919,Angel Montoro,2015-2016,27,Las Palmas,es ESP,Copa del Rey,1,0,9,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8920,Angel Montoro,2016-2017,28,Las Palmas,es ESP,Copa del Rey,3,2,203,2.3,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.44,0.44,0.00,0.44,,,,,,Matches,,,,,,
8921,Angel Montoro,2017-2018,29,Granada,es ESP,2. La Liga 2,29,27,2151,23.9,2,2,4,2,0,0,10,1,1.0,1.0,1.8,2.8,27,170,28,0.08,0.08,0.17,0.08,0.17,0.04,0.07,0.12,0.04,0.12,Matches,,,,,,
8922,Angel Montoro,2018-2019,30,Granada,es ESP,2. La Liga 2,35,34,2941,32.7,5,5,10,5,0,0,16,0,2.8,2.8,4.7,7.5,21,189,49,0.15,0.15,0.31,0.15,0.31,0.09,0.14,0.23,0.09,0.23,Matches,,,,,,
8923,Angel Montoro,2019-2020,31,Granada,es ESP,1. La Liga,15,11,973,10.8,2,5,7,2,0,0,6,0,0.9,0.9,1.4,2.4,14,72,12,0.18,0.46,0.65,0.18,0.65,0.09,0.13,0.22,0.09,0.22,Matches,,,,,,
8924,Angel Montoro,2020-2021,32,Granada,es ESP,Copa del Rey,3,1,176,2.0,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.51,0.51,0.00,0.51,,,,,,Matches,,,,,,
8925,Angel Montoro,2021-2022,33,Granada,es ESP,Copa del Rey,1,0,27,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8926,Angel Montoro,2022-2023,34,Oviedo,es ESP,Copa del Rey,1,1,65,0.7,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.38,1.38,0.00,1.38,,,,,,Matches,,,,,,
8941,Fede Vico,2010-2011,16,Córdoba,es ESP,2. La Liga 2,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
8942,Fede Vico,2011-2012,17,Córdoba,es ESP,2. La Liga 2,24,5,843,9.4,2,0,2,2,0,0,0,0,,,,,,,,0.21,0.00,0.21,0.21,0.21,,,,,,,,,,,,
8943,Fede Vico,2012-2013,18,Córdoba,es ESP,2. La Liga 2,33,19,1877,20.9,6,4,10,6,0,0,5,0,,,,,,,,0.29,0.19,0.48,0.29,0.48,,,,,,,,,,,,
8944,Fede Vico,2014-2015,20,Córdoba,es ESP,Copa del Rey,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8945,Fede Vico,2015-2016,21,Albacete,es ESP,2. La Liga 2,13,9,714,7.9,1,1,2,1,0,0,2,0,,,,,,,,0.13,0.13,0.25,0.13,0.25,,,,,,Matches,,,,,,
8946,Fede Vico,2016-2017,22,Lugo,es ESP,2. La Liga 2,23,15,1278,14.2,1,1,2,1,0,0,3,0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,Matches,,,,,,
8947,Fede Vico,2017-2018,23,Lugo,es ESP,Copa del Rey,1,0,32,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8948,Fede Vico,2018-2019,24,Granada,es ESP,Copa del Rey,1,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8949,Fede Vico,2019-2020,25,Granada,es ESP,Copa del Rey,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8950,Fede Vico,2020-2021,26,Granada,es ESP,Copa del Rey,4,3,264,2.9,3,0,3,2,1,1,0,0,,,,,,,,1.02,0.00,1.02,0.68,0.68,,,,,,Matches,,,,,,
8951,Fede Vico,2021-2022,27,Leganés,es ESP,2. La Liga 2,16,14,1018,11.3,2,2,4,2,0,0,2,0,2.5,2.5,2.3,4.9,47,57,68,0.18,0.18,0.35,0.18,0.35,0.22,0.21,0.43,0.22,0.43,Matches,,,,,,
8952,Fede Vico,2022-2023,28,Leganés,es ESP,Copa del Rey,1,1,60,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8953,Fede Vico,2023-2024,29,Alcorcón,es ESP,2. La Liga 2,16,8,692,7.7,1,3,4,1,0,0,1,0,0.2,0.2,1.4,1.7,8,27,29,0.13,0.39,0.52,0.13,0.52,0.03,0.19,0.22,0.03,0.22,Matches,,,,,,
8967,Quini,2012-2013,22,Real Madrid B,es ESP,2. La Liga 2,9,3,260,2.9,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.35,0.35,0.00,0.35,,,,,,,,,,,,
8968,Quini,2013-2014,23,Real Madrid B,es ESP,2. La Liga 2,31,29,2624,29.2,1,2,3,1,0,0,13,0,,,,,,,,0.03,0.07,0.10,0.03,0.10,,,,,,,,,,,,
8969,Quini,2014-2015,24,Rayo Vallecano,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8970,Quini,2015-2016,25,Rayo Vallecano,es ESP,Copa del Rey,4,3,295,3.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8971,Quini,2016-2017,26,Rayo Vallecano,es ESP,Copa del Rey,1,1,120,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8972,Quini,2017-2018,27,Granada,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8973,Quini,2018-2019,28,Granada,es ESP,Copa del Rey,1,1,83,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8974,Quini,2019-2020,29,Granada,es ESP,1. La Liga,10,8,718,8.0,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,14,15,22,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Matches,,,,,,
8975,Quini,2020-2021,30,Granada,es ESP,Copa del Rey,2,2,173,1.9,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.52,0.52,0.00,0.52,,,,,,Matches,,,,,,
8976,Quini,2021-2022,31,Granada,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
8977,Quini,2022-2023,32,Granada,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8978,Quini,2023-2024,33,Olympiacos,,3. Conf Lg,4,1,126,1.4,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,0,1,2,0.00,0.71,0.71,0.00,0.71,0.00,0.50,0.50,0.00,0.50,Matches,,,,,,
8979,Quini,2024-2025,34,Atromitos,gr GRE,1. Super League,14,14,1214,13.5,0,2,2,0,0,0,5,1,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,Matches,,,,,,
8993,Gil Bastiao Dias,2015-2016,18,Monaco,fr FRA,1. Ligue 1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
8994,Gil Bastiao Dias,2016-2017,19,Rio Ave,pt POR,1. Primeira Liga,34,30,2559,28.4,6,4,10,6,0,0,4,0,,,,,,,,0.21,0.14,0.35,0.21,0.35,,,,,,Matches,,,,,,
8995,Gil Bastiao Dias,2017-2018,20,Fiorentina,it ITA,Coppa Italia,1,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8996,Gil Bastiao Dias,2018-2019,21,Nott'ham Forest,eng ENG,2. Championship,21,10,921,10.2,0,0,0,0,0,0,2,0,0.8,0.8,0.8,1.6,27,36,57,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16,Matches,,,,,,
8997,Gil Bastiao Dias,2019-2020,22,Granada,es ESP,Copa del Rey,1,0,20,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
8998,Gil Bastiao Dias,2020-2021,23,Famalicão,pt POR,1. Primeira Liga,31,26,2360,26.2,0,3,3,0,0,0,5,0,1.6,1.6,3.1,4.7,103,76,162,0.00,0.11,0.11,0.00,0.11,0.06,0.12,0.18,0.06,0.18,Matches,,,,,,
8999,Gil Bastiao Dias,2021-2022,24,Benfica,,1. Champions Lg,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
9000,Gil Bastiao Dias,2022-2023,25,Stuttgart,de GER,1. Bundesliga,7,6,398,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.7,1.2,16,14,33,0.23,0.00,0.23,0.23,0.23,0.12,0.15,0.26,0.12,0.26,Matches,,,,,,
9001,Gil Bastiao Dias,2023-2024,26,Legia Warsaw,,3. Conf Lg,5,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,11,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,
9002,Gil Bastiao Dias,2024-2025,27,Famalicão,pt POR,1. Primeira Liga,12,7,759,8.4,4,1,5,4,0,0,3,0,1.7,1.7,0.3,2.0,26,25,64,0.47,0.12,0.59,0.47,0.59,0.20,0.03,0.24,0.20,0.24,Matches,,,,,,
9033,Aaron Escandell,2015-2016,19,Málaga,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9034,Aaron Escandell,2016-2017,20,Málaga,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9035,Aaron Escandell,2017-2018,21,Granada,es ESP,2. La Liga 2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9036,Aaron Escandell,2018-2019,22,Granada,es ESP,Copa del Rey,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9037,Aaron Escandell,2019-2020,23,Granada,es ESP,Copa del Rey,3,3,330,3.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9038,Aaron Escandell,2020-2021,24,Granada,es ESP,Copa del Rey,5,5,510,5.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9039,Aaron Escandell,2021-2022,25,Granada,es ESP,Copa del Rey,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9040,Aaron Escandell,2022-2023,26,Cartagena,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9041,Aaron Escandell,2023-2024,27,Las Palmas,es ESP,Copa del Rey,3,3,300,3.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9042,Aaron Escandell,2024-2025,28,Oviedo,es ESP,2. La Liga 2,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
9056,Ismail Koybasi,2010-2011,21,Beşiktaş,,2. Europa Lg,4,4,360,4.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9057,Ismail Koybasi,2011-2012,22,Beşiktaş,,2. Europa Lg,8,7,674,7.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9058,Ismail Koybasi,2013-2014,24,Beşiktaş,tr TUR,1. Süper Lig,7,3,337,3.7,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
9059,Ismail Koybasi,2014-2015,25,Beşiktaş,,2. Europa Lg,3,1,108,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9060,Ismail Koybasi,2015-2016,26,Beşiktaş,,2. Europa Lg,6,6,535,5.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9061,Ismail Koybasi,2016-2017,27,Fenerbahçe,,2. Europa Lg,4,1,129,1.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9062,Ismail Koybasi,2017-2018,28,Fenerbahçe,tr TUR,1. Süper Lig,14,11,988,11.0,0,3,3,0,0,0,3,1,,,,,,,,0.00,0.27,0.27,0.00,0.27,,,,,,Matches,,,,,,
9063,Ismail Koybasi,2018-2019,29,Fenerbahçe,,2. Europa Lg,5,2,228,2.5,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,5,5,13,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.22,0.02,0.22,Matches,,,,,,
9064,Ismail Koybasi,2019-2020,30,Granada,es ESP,Copa del Rey,1,1,36,0.4,1,0,1,1,0,0,0,0,,,,,,,,2.50,0.00,2.50,2.50,2.50,,,,,,Matches,,,,,,
9065,Ismail Koybasi,2020-2021,31,Rizespor,tr TUR,1. Süper Lig,20,14,1246,13.8,3,2,5,3,0,0,3,0,,,,,,,,0.22,0.14,0.36,0.22,0.36,,,,,,Matches,,,,,,
9066,Ismail Koybasi,2021-2022,32,Trabzonspor,tr TUR,1. Süper Lig,13,12,961,10.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9067,Ismail Koybasi,2024-2025,35,Göztepe,tr TUR,1. Süper Lig,12,3,254,2.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9083,Adrian Ramos,2010-2011,24,Hertha BSC,de GER,2. 2. Bundesliga,,32,2868,31.9,15,8,23,15,0,0,2,1,,,,,,,,0.47,0.25,0.72,0.47,0.72,,,,,,,,,,,33,
9084,Adrian Ramos,2011-2012,25,Hertha BSC,de GER,1. Bundesliga,,27,2333,25.9,6,3,9,6,0,0,3,1,,,,,,,,0.23,0.12,0.35,0.23,0.35,,,,,,Matches,,,,,31,
9085,Adrian Ramos,2012-2013,26,Hertha BSC,de GER,2. 2. Bundesliga,,29,2471,27.5,11,8,19,11,0,0,1,0,,,,,,,,0.40,0.29,0.69,0.40,0.69,,,,,,,,,,,32,
9086,Adrian Ramos,2013-2014,27,Hertha BSC,de GER,1. Bundesliga,,30,2658,29.5,16,5,21,13,3,4,3,0,,,,,,,,0.54,0.17,0.71,0.44,0.61,,,,,,Matches,,,,,32,
9087,Adrian Ramos,2014-2015,28,Dortmund,de GER,1. Bundesliga,,6,717,8.0,2,2,4,2,0,0,0,0,,,,,,,,0.25,0.25,0.50,0.25,0.50,,,,,,Matches,,,,,18,
9088,Adrian Ramos,2015-2016,29,Dortmund,de GER,1. Bundesliga,,9,945,10.5,9,4,13,9,0,0,0,0,,,,,,,,0.86,0.38,1.24,0.86,1.24,,,,,,Matches,,,,,27,
9089,Adrian Ramos,2016-2017,30,Dortmund,de GER,1. Bundesliga,,4,357,4.0,2,0,2,2,0,0,2,0,,,,,,,,0.50,0.00,0.50,0.50,0.50,,,,,,Matches,,,,,7,
9090,Adrian Ramos,2017-2018,31,Granada,es ESP,Copa del Rey,,0,29,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,1,
9091,Adrian Ramos,2018-2019,32,Granada,es ESP,2. La Liga 2,,23,2255,25.1,6,2,8,5,1,1,7,0,6.4,5.6,2.6,8.2,29,40,142,0.24,0.08,0.32,0.20,0.28,0.25,0.10,0.36,0.22,0.33,Matches,,,,,39,
9092,Adrian Ramos,2019-2020,33,Granada,es ESP,1. La Liga,,2,226,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.7,1.1,1,12,19,0.00,0.00,0.00,0.00,0.00,0.17,0.26,0.43,0.17,0.43,Matches,,,,,7,
9116,Antonio Cortes,2019-2020,19,Granada,es ESP,Copa del Rey,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9117,Antonio Cortes,2020-2021,20,Rayo Vallecano,es ESP,Copa del Rey,3,0,89,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.01,0.00,1.01,1.01,1.01,,,,,,Matches,,,,,,
9118,Antonio Cortes,2021-2022,21,Málaga,es ESP,Copa del Rey,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9119,Antonio Cortes,2022-2023,22,Vitória,pt POR,1. Primeira Liga,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches,,,,,,
9120,Antonio Cortes,2023-2024,23,Lugo,es ESP,Copa del Rey,3,2,173,1.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9121,Antonio Cortes,2024-2025,24,Gimnàstic,es ESP,Copa del Rey,1,0,28,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9134,Alex Martinez,2010-2011,19,Betis,es ESP,2. La Liga 2,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
9135,Alex Martinez,2011-2012,20,Betis,es ESP,1. La Liga,3,1,119,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9136,Alex Martinez,2012-2013,21,Betis,es ESP,1. La Liga,13,11,1041,11.6,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.17,0.17,0.00,0.17,,,,,,Matches,,,,,,
9137,Alex Martinez,2013-2014,22,Real Murcia,es ESP,2. La Liga 2,38,38,3259,36.2,3,0,3,3,0,0,6,2,,,,,,,,0.08,0.00,0.08,0.08,0.08,,,,,,,,,,,,
9138,Alex Martinez,2014-2015,23,Betis,es ESP,Copa del Rey,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9139,Alex Martinez,2015-2016,24,Elche,es ESP,2. La Liga 2,32,29,2647,29.4,0,5,5,0,0,0,4,0,,,,,,,,0.00,0.17,0.17,0.00,0.17,,,,,,Matches,,,,,,
9140,Alex Martinez,2016-2017,25,Betis,es ESP,1. La Liga,14,11,967,10.7,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9141,Alex Martinez,2017-2018,26,Granada,es ESP,2. La Liga 2,42,42,3737,41.5,3,2,5,3,0,0,2,0,0.8,0.8,2.0,2.8,91,196,171,0.07,0.05,0.12,0.07,0.12,0.02,0.05,0.07,0.02,0.07,Matches,,,,,,
9142,Alex Martinez,2018-2019,27,Granada,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9143,Alex Martinez,2019-2020,28,Granada,es ESP,Copa del Rey,2,2,240,2.7,1,1,2,1,0,0,0,0,,,,,,,,0.37,0.37,0.75,0.37,0.75,,,,,,Matches,,,,,,
9144,Alex Martinez,2022-2023,31,Eldense,es ESP,Copa del Rey,3,3,275,3.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9145,Alex Martinez,2023-2024,32,Eldense,es ESP,2. La Liga 2,5,3,271,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,9,11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,
9156,Mario Rodriguez,2019-2020,22,Granada,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9157,Mario Rodriguez,2020-2021,23,Warta Poznań,pl POL,1. Ekstraklasa,13,5,424,4.7,1,0,1,1,0,0,1,0,,,,,,,,0.21,0.00,0.21,0.21,0.21,,,,,,Matches,,,,,,
9158,Mario Rodriguez,2021-2022,24,Warta Poznań,pl POL,1. Ekstraklasa,16,5,596,6.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9159,Mario Rodriguez,2023-2024,26,Gimnàstic,es ESP,Copa del Rey,1,1,89,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9160,Mario Rodriguez,2024-2025,27,Gimnàstic,es ESP,Copa del Rey,1,1,67,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9169,Joao Paulo Santos Costa,2018-2019,22,Cartagena,es ESP,Copa del Rey,2,2,210,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
9170,Joao Paulo Santos Costa,2019-2020,23,Granada,es ESP,1. La Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9171,Joao Paulo Santos Costa,2020-2021,24,Granada,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
9172,Joao Paulo Santos Costa,2022-2023,26,Real Murcia,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
