,Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,MP,Matches
89,Gilberto,2020-2021,27,Benfica,,2. Europa Lg,4,3,293,3.3,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,20,24,13,0.00,0.31,0.31,0.00,0.31,0.00,0.13,0.13,0.00,0.13,Matches,,,
90,Gilberto,2021-2022,28,Benfica,,1. Champions Lg,9,8,713,7.9,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.4,20,36,17,0.13,0.00,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06,Matches,,,
91,Gilberto,2022-2023,29,Benfica,,1. Champions Lg,5,2,201,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,12,16,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,
92,Morato,2020-2021,19,Benfica,pt POR,1. Primeira Liga,2,1,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,6,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,,,
93,Morato,2021-2022,20,Benfica,,1. Champions Lg,2,2,180,2.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,3,17,1,0.50,0.00,0.50,0.50,0.50,0.04,0.00,0.04,0.04,0.04,Matches,,,
94,Morato,2022-2023,21,Benfica,,1. Champions Lg,2,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,
95,Morato,2023-2024,22,Benfica,,1. Champions Lg,5,4,435,4.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.6,12,15,11,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.13,0.05,0.13,Matches,,,
96,Morato,2024-2025,23,Nott'ham Forest,eng ENG,1. Premier League,10,1,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,
97,Joao Neves,2022-2023,17,Benfica,,1. Champions Lg,3,0,29,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,2,0.00,3.10,3.10,0.00,3.10,0.00,0.24,0.24,0.00,0.24,Matches,,,
98,Joao Neves,2023-2024,18,Benfica,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,28,7,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches,,,
99,Joao Neves,2024-2025,19,Paris S-G,,1. Champions Lg,6,5,454,5.0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,10,39,13,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.21,0.15,0.21,Matches,,,
100,Goncalo Guedes,2014-2015,17,Benfica,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,
101,Goncalo Guedes,2015-2016,18,Benfica,,1. Champions Lg,7,6,496,5.5,1,0,1,1,0,0,2,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,Matches,,,
102,Goncalo Guedes,2016-2017,19,Benfica,,1. Champions Lg,6,5,422,4.7,2,0,2,2,0,0,0,0,,,,,,,,0.43,0.00,0.43,0.43,0.43,,,,,,Matches,,,
103,Goncalo Guedes,2017-2018,20,Valencia,es ESP,Copa del Rey,5,2,285,3.2,1,0,1,1,0,0,2,0,,,,,,,,0.32,0.00,0.32,0.32,0.32,,,,,,Matches,,,
104,Goncalo Guedes,2018-2019,21,Valencia,,1. Champions Lg,4,4,314,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,17,16,31,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,,,
105,Goncalo Guedes,2019-2020,22,Valencia,,1. Champions Lg,3,2,198,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,7,5,16,0.00,0.00,0.00,0.00,0.00,0.17,0.03,0.20,0.17,0.20,Matches,,,
106,Goncalo Guedes,2020-2021,23,Valencia,es ESP,Copa del Rey,3,2,205,2.3,2,1,3,2,0,0,0,0,,,,,,,,0.88,0.44,1.32,0.88,1.32,,,,,,Matches,,,
107,Goncalo Guedes,2021-2022,24,Valencia,es ESP,Copa del Rey,6,4,401,4.5,2,0,2,2,0,0,0,0,,,,,,,,0.45,0.00,0.45,0.45,0.45,,,,,,Matches,,,
108,Goncalo Guedes,2022-2023,25,Benfica,,1. Champions Lg,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,2,2,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.12,0.08,0.12,Matches,,,
109,Goncalo Guedes,2023-2024,26,Benfica,,1. Champions Lg,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,,,
110,Goncalo Guedes,2024-2025,27,Wolves,eng ENG,EFL Cup,2,2,155,1.7,3,0,3,3,0,0,0,0,,,,,,,,1.74,0.00,1.74,1.74,1.74,,,,,,Matches,,,
111,Julian Draxler,2010-2011,16,Schalke 04,de GER,1. Bundesliga,15,3,509,5.7,1,0,1,1,0,0,1,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,Matches,,,
112,Julian Draxler,2011-2012,17,Schalke 04,de GER,1. Bundesliga,30,21,1762,19.6,2,3,5,2,0,0,2,0,,,,,,,,0.10,0.15,0.26,0.10,0.26,,,,,,Matches,,,
