Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 22_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Matches,MP,LgRank,MP,Matches,Matches
Ederson,EFL Cup (7 Seasons),EFL Cup (7 Seasons),EFL Cup (7 Seasons),,,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Ederson,Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,74,73,6577,73.1,0,0,0,0,0,0,14,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Ederson,Community Shield (5 Seasons),Community Shield (5 Seasons),Community Shield (5 Seasons),,,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Ederson,Europa Lg (1 Season),Europa Lg (1 Season),Europa Lg (1 Season),,,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Ederson,Super Cup (1 Season),Super Cup (1 Season),Super Cup (1 Season),,,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Gabriel Jesus,2015,17,Palmeiras,br BRA,1. Série A,20,12,1304,14.5,4,3,7,4,0,0,5,0,,,,,,,,0.28,0.21,0.48,0.28,0.48,,,,,,Matches,,,,,,
Gabriel Jesus,2016,18,Palmeiras,,1. Libertadores,5,3,342,3.8,4,0,4,4,0,0,1,1,,,,,,,,1.05,0.00,1.05,1.05,1.05,,,,,,Matches,,,,,,
Gabriel Jesus,2016-2017,19,Manchester City,eng ENG,FA Cup,1,1,90,1.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.00,1.00,0.00,1.00,,,,,,Matches,,,,,,
Gabriel Jesus,2017-2018,20,Manchester City,,1. Champions Lg,9,7,618,6.9,4,0,4,4,0,0,2,0,3.3,3.3,0.7,4.0,5,6,49,0.58,0.00,0.58,0.58,0.58,0.48,0.10,0.58,0.48,0.58,Matches,,,,,,
Gabriel Jesus,2018-2019,21,Manchester City,,1. Champions Lg,6,4,375,4.2,4,0,4,2,2,2,0,0,3.9,2.4,0.3,2.7,13,6,42,0.96,0.00,0.96,0.48,0.48,0.95,0.08,1.02,0.57,0.65,Matches,,,,,,
