Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches,Matches
Elias Bordner,2020-2021,18,Frankfurt U19,de GER,Jr. U19 Bundesliga,,4,360,4.0,0,,,0,0,0,0,0,,,,,,,,0.00,,,0.00,,,,,,,,,34th,4,Matches,,
Elias Bordner,2021-2022,19,Viktoria Köln,de GER,3. 3. Liga,,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,13th,6,Matches,,
Elias Bordner,2022-2023,20,Viktoria Köln,de GER,3. 3. Liga,,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,9th,1,Matches,,
Elias Bordner,2023-2024,21,Viktoria Köln,de GER,3. 3. Liga,,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,13th,1,Matches,,
Elias Bordner,2024-2025,22,Aachen,de GER,3. 3. Liga,,9,810,9.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,12th,9,Matches,,
Yannick Brugger,2020-2021,19,Eint Frankfurt,de GER,1. Bundesliga,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5th,0,,,Matches
Yannick Brugger,2021-2022,20,Admira,at AUT,1. Bundesliga,,9,897,10.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,12th,12,,,Matches
Simon Falette,2020-2021,28,Hannover 96,de GER,2. 2. Bundesliga,18,15,1446,16.1,0,1,1,0,0,0,4,1,0.8,0.8,0.3,1.1,11,76,5,0.00,0.06,0.06,0.00,0.06,0.05,0.02,0.07,0.05,0.07,Matches,,,,,,
Simon Falette,2021-2022,29,Hannover 96,de GER,2. 2. Bundesliga,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,
Simon Falette,2022-2023,30,Hatayspor,tr TUR,1. Süper Lig,8,6,579,6.4,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Simon Falette,2024-2025,32,Martigues,fr FRA,Coupe de France,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Frederik Ronnow,2020-2021,27,Schalke 04,de GER,1. Bundesliga,11,10,945,10.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Frederik Ronnow,2021-2022,28,Union Berlin,de GER,1. Bundesliga,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Frederik Ronnow,2022-2023,29,Union Berlin,de GER,1. Bundesliga,29,29,2610,29.0,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Frederik Ronnow,2023-2024,30,Union Berlin,de GER,1. Bundesliga,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,,,,,,
Frederik Ronnow,2024-2025,31,Union Berlin,de GER,1. Bundesliga,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Markus Schubert,2020-2021,22,Schalke 04,de GER,1. Bundesliga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Markus Schubert,2021-2022,23,Vitesse,,3. Conf Lg,4,4,354,3.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,
Markus Schubert,2022-2023,24,Vitesse,nl NED,1. Eredivisie,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Markus Schubert,2023-2024,25,Vitesse,nl NED,1. Eredivisie,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Markus Schubert,2024-2025,26,Paderborn 07,de GER,2. 2. Bundesliga,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Edmond Tapsoba,2020-2021,21,Leverkusen,de GER,1. Bundesliga,31,29,2652,29.5,1,0,1,1,0,0,5,0,1.0,1.0,0.5,1.5,25,167,8,0.03,0.00,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05,Matches,,,,,,
Edmond Tapsoba,2021-2022,22,Leverkusen,de GER,1. Bundesliga,22,19,1814,20.2,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,13,89,5,0.05,0.00,0.05,0.05,0.05,0.02,0.00,0.02,0.02,0.02,Matches,,,,,,
Edmond Tapsoba,2022-2023,23,Leverkusen,de GER,1. Bundesliga,33,32,2871,31.9,1,0,1,0,1,2,5,0,2.8,1.2,1.0,2.2,40,169,10,0.03,0.00,0.03,0.00,0.00,0.09,0.03,0.12,0.04,0.07,Matches,,,,,,
Edmond Tapsoba,2023-2024,24,Leverkusen,de GER,1. Bundesliga,28,23,2087,23.2,0,1,1,0,0,0,4,0,1.0,1.0,1.0,2.0,49,164,12,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.08,0.04,0.08,Matches,,,,,,
Edmond Tapsoba,2024-2025,25,Leverkusen,de GER,1. Bundesliga,14,14,1255,13.9,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.6,31,92,11,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,,,,,,
Lukas Hradecky,2020-2021,30,Leverkusen,de GER,1. Bundesliga,29,29,2565,28.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Lukas Hradecky,2021-2022,31,Leverkusen,de GER,1. Bundesliga,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Lukas Hradecky,2022-2023,32,Leverkusen,de GER,1. Bundesliga,33,33,2969,33.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Lukas Hradecky,2023-2024,33,Leverkusen,de GER,1. Bundesliga,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Lukas Hradecky,2024-2025,34,Leverkusen,de GER,1. Bundesliga,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Moussa Diaby,2020-2021,21,Leverkusen,de GER,1. Bundesliga,32,28,2388,26.5,4,11,15,4,0,0,5,0,4.6,4.6,6.7,11.3,142,62,270,0.15,0.41,0.57,0.15,0.57,0.17,0.25,0.43,0.17,0.43,Matches,,,,,,
Moussa Diaby,2021-2022,22,Leverkusen,de GER,1. Bundesliga,32,32,2760,30.7,13,12,25,13,0,1,10,1,8.0,7.2,9.2,16.4,131,110,261,0.42,0.39,0.82,0.42,0.82,0.26,0.30,0.56,0.24,0.54,Matches,,,,,,
Moussa Diaby,2022-2023,23,Leverkusen,de GER,1. Bundesliga,33,33,2699,30.0,9,8,17,9,0,1,4,0,11.0,10.3,8.2,18.5,125,104,258,0.30,0.27,0.57,0.30,0.57,0.37,0.27,0.64,0.34,0.62,Matches,,,,,,
Moussa Diaby,2023-2024,24,Aston Villa,,3. Conf Lg,11,8,646,7.2,3,1,4,3,0,0,3,0,0.9,0.9,0.5,1.4,29,30,59,0.42,0.14,0.56,0.42,0.56,0.12,0.07,0.19,0.12,0.19,Matches,,,,,,
Moussa Diaby,2024-2025,25,Al-Ittihad,sa KSA,1. Saudi Professional League,10,10,899,10.0,1,10,11,1,0,0,2,0,,,,,,,,0.10,1.00,1.10,0.10,1.10,,,,,,Matches,,,,,,
Florian Wirtz,2020-2021,17,Leverkusen,de GER,1. Bundesliga,29,25,2224,24.7,5,6,11,5,0,0,1,0,4.0,4.0,3.4,7.4,54,114,154,0.20,0.24,0.45,0.20,0.45,0.16,0.14,0.30,0.16,0.30,Matches,,,,,,
Florian Wirtz,2021-2022,18,Leverkusen,de GER,1. Bundesliga,24,22,1851,20.6,7,10,17,7,0,0,2,0,5.4,5.4,7.7,13.1,75,136,134,0.34,0.49,0.83,0.34,0.83,0.26,0.37,0.64,0.26,0.64,Matches,,,,,,
Florian Wirtz,2022-2023,19,Leverkusen,de GER,1. Bundesliga,17,11,1090,12.1,1,6,7,1,0,0,4,0,0.8,0.8,3.9,4.7,36,80,86,0.08,0.50,0.58,0.08,0.58,0.06,0.32,0.39,0.06,0.39,Matches,,,,,,
Florian Wirtz,2023-2024,20,Leverkusen,de GER,1. Bundesliga,32,26,2372,26.4,11,11,22,10,1,1,3,0,8.9,8.2,7.5,15.7,138,224,306,0.42,0.42,0.83,0.38,0.80,0.34,0.29,0.62,0.31,0.60,Matches,,,,,,
Florian Wirtz,2024-2025,21,Leverkusen,de GER,1. Bundesliga,14,12,1112,12.4,6,4,10,5,1,2,1,0,4.1,2.3,3.1,5.5,72,86,160,0.49,0.32,0.81,0.40,0.73,0.33,0.25,0.58,0.19,0.44,Matches,,,,,,
Leon Bailey,2020-2021,22,Leverkusen,de GER,1. Bundesliga,30,25,2141,23.8,9,8,17,9,0,0,6,0,6.2,6.2,6.0,12.2,112,63,254,0.38,0.34,0.71,0.38,0.71,0.26,0.25,0.51,0.26,0.51,Matches,,,,,,
Leon Bailey,2021-2022,23,Aston Villa,eng ENG,1. Premier League,18,7,761,8.5,1,2,3,1,0,0,3,0,1.5,1.5,0.8,2.3,34,24,61,0.12,0.24,0.35,0.12,0.35,0.18,0.09,0.27,0.18,0.27,Matches,,,,,,
Leon Bailey,2022-2023,24,Aston Villa,eng ENG,EFL Cup,2,0,52,0.6,1,0,1,1,0,0,1,0,,,,,,,,1.73,0.00,1.73,1.73,1.73,,,,,,Matches,,,,,,
Leon Bailey,2023-2024,25,Aston Villa,,3. Conf Lg,11,8,770,8.6,2,4,6,2,0,0,1,0,1.9,1.9,1.3,3.2,33,20,76,0.23,0.47,0.70,0.23,0.70,0.23,0.15,0.38,0.23,0.38,Matches,,,,,,
Leon Bailey,2024-2025,26,Aston Villa,,1. Champions Lg,4,3,272,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.7,1.0,9,9,17,0.00,0.00,0.00,0.00,0.00,0.08,0.24,0.32,0.08,0.32,Matches,,,,,,
Jonathan Tah,2020-2021,24,Leverkusen,de GER,1. Bundesliga,,24,2219,24.7,1,0,1,1,0,0,3,0,0.8,0.8,0.0,0.9,13,125,12,0.04,0.00,0.04,0.04,0.04,0.03,0.00,0.03,0.03,0.03,Matches,27,,,,,
Jonathan Tah,2021-2022,25,Leverkusen,de GER,1. Bundesliga,,33,2878,32.0,2,2,4,2,0,0,4,0,1.2,1.2,1.9,3.1,18,102,6,0.06,0.06,0.13,0.06,0.13,0.04,0.06,0.10,0.04,0.10,Matches,33,,,,,
Jonathan Tah,2022-2023,26,Leverkusen,de GER,1. Bundesliga,,28,2487,27.6,1,0,1,1,0,0,6,0,1.1,1.1,0.5,1.5,8,56,4,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches,33,,,,,
Jonathan Tah,2023-2024,27,Leverkusen,de GER,1. Bundesliga,,30,2631,29.2,4,1,5,4,0,0,6,0,2.1,2.1,0.3,2.3,17,133,4,0.14,0.03,0.17,0.14,0.17,0.07,0.01,0.08,0.07,0.08,Matches,31,,,,,
Jonathan Tah,2024-2025,28,Leverkusen,de GER,1. Bundesliga,,14,1260,14.0,2,0,2,2,0,0,1,0,0.7,0.7,0.0,0.7,11,80,6,0.14,0.00,0.14,0.14,0.14,0.05,0.00,0.05,0.05,0.05,Matches,14,,,,,
Nadiem Amiri,2020-2021,23,Leverkusen,de GER,1. Bundesliga,29,20,1890,21.0,2,6,8,2,0,0,5,0,2.2,2.2,3.1,5.3,45,113,82,0.10,0.29,0.38,0.10,0.38,0.10,0.15,0.25,0.10,0.25,Matches,,,,,,
Nadiem Amiri,2021-2022,24,Leverkusen,de GER,1. Bundesliga,13,3,369,4.1,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,17,21,29,0.24,0.00,0.24,0.24,0.24,0.11,0.08,0.19,0.11,0.19,Matches,,,,,,
Nadiem Amiri,2022-2023,25,Leverkusen,de GER,1. Bundesliga,25,9,977,10.9,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30,55,30,0.37,0.09,0.46,0.28,0.37,0.17,0.10,0.27,0.10,0.20,Matches,,,,,,
Nadiem Amiri,2023-2024,26,Mainz 05,de GER,1. Bundesliga,15,15,1315,14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.30,0.45,0.10,0.39,Matches,,,,,,
Nadiem Amiri,2024-2025,27,Mainz 05,de GER,1. Bundesliga,13,13,1085,12.1,3,2,5,2,1,1,5,1,2.3,1.5,3.6,5.1,22,87,35,0.25,0.17,0.41,0.17,0.33,0.19,0.30,0.48,0.12,0.42,Matches,,,,,,
Patrik Schick,2020-2021,24,Leverkusen,de GER,1. Bundesliga,29,20,1866,20.7,9,1,10,9,0,0,4,0,9.2,9.2,2.5,11.7,19,19,132,0.43,0.05,0.48,0.43,0.48,0.44,0.12,0.56,0.44,0.56,Matches,,,,,,
Patrik Schick,2021-2022,25,Leverkusen,de GER,1. Bundesliga,27,26,2076,23.1,24,3,27,23,1,2,0,0,18.1,16.5,2.5,19.0,21,25,138,1.04,0.13,1.17,1.00,1.13,0.78,0.11,0.89,0.72,0.83,Matches,,,,,,
Patrik Schick,2022-2023,26,Leverkusen,de GER,1. Bundesliga,14,10,941,10.5,3,1,4,3,0,0,0,0,4.6,4.6,0.6,5.1,8,11,68,0.29,0.10,0.38,0.29,0.38,0.44,0.05,0.49,0.44,0.49,Matches,,,,,,
Patrik Schick,2023-2024,27,Leverkusen,de GER,1. Bundesliga,20,12,1063,11.8,7,0,7,6,1,1,1,0,6.0,5.3,1.0,6.2,7,17,88,0.59,0.00,0.59,0.51,0.51,0.51,0.08,0.59,0.44,0.53,Matches,,,,,,
Patrik Schick,2024-2025,28,Leverkusen,de GER,1. Bundesliga,11,4,423,4.7,5,0,5,5,0,0,1,0,3.9,3.9,0.4,4.3,1,8,43,1.06,0.00,1.06,1.06,1.06,0.83,0.08,0.91,0.83,0.91,Matches,,,,,,
Kerem Demirbay,2020-2021,27,Leverkusen,de GER,1. Bundesliga,29,20,1744,19.4,4,3,7,4,0,0,2,0,3.5,3.5,3.7,7.1,41,130,74,0.21,0.15,0.36,0.21,0.36,0.18,0.19,0.37,0.18,0.37,Matches,,,,,,
Kerem Demirbay,2021-2022,28,Leverkusen,de GER,1. Bundesliga,29,23,2049,22.8,1,4,5,0,1,2,10,0,3.3,1.8,3.8,5.6,34,142,47,0.04,0.18,0.22,0.00,0.18,0.15,0.17,0.31,0.08,0.24,Matches,,,,,,
Kerem Demirbay,2022-2023,29,Leverkusen,de GER,1. Bundesliga,25,17,1544,17.2,4,3,7,4,0,0,5,0,2.2,2.2,3.0,5.2,22,86,21,0.23,0.17,0.41,0.23,0.41,0.13,0.17,0.31,0.13,0.31,Matches,,,,,,
Kerem Demirbay,2023-2024,30,Galatasaray,,1. Champions Lg,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Kerem Demirbay,2024-2025,31,Galatasaray,,2. Europa Lg,6,0,141,1.6,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,2,12,2,0.00,1.28,1.28,0.00,1.28,0.07,0.45,0.52,0.07,0.52,Matches,,,,,,
Charles Aranguiz,2020-2021,31,Leverkusen,de GER,1. Bundesliga,21,20,1669,18.5,0,0,0,0,0,0,4,0,0.6,0.6,0.6,1.1,11,119,18,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,,,,,,
Charles Aranguiz,2021-2022,32,Leverkusen,de GER,1. Bundesliga,26,16,1578,17.5,1,4,5,1,0,0,2,0,1.6,1.6,0.9,2.5,6,96,14,0.06,0.23,0.29,0.06,0.29,0.09,0.05,0.14,0.09,0.14,Matches,,,,,,
Charles Aranguiz,2022-2023,33,Leverkusen,de GER,1. Bundesliga,10,4,493,5.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,3,32,7,0.18,0.00,0.18,0.18,0.18,0.06,0.04,0.10,0.06,0.10,Matches,,,,,,
Daley Sinkgraven,2020-2021,25,Leverkusen,de GER,1. Bundesliga,22,19,1570,17.4,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.9,56,78,66,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,,,,,,
Daley Sinkgraven,2021-2022,26,Leverkusen,de GER,1. Bundesliga,12,3,351,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,18,16,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches,,,,,,
Daley Sinkgraven,2022-2023,27,Leverkusen,de GER,1. Bundesliga,12,4,344,3.8,0,2,2,0,0,0,1,0,0.2,0.2,1.3,1.4,8,8,17,0.00,0.52,0.52,0.00,0.52,0.04,0.33,0.37,0.04,0.37,Matches,,,,,,
Daley Sinkgraven,2023-2024,28,Las Palmas,es ESP,Copa del Rey,2,2,147,1.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Daley Sinkgraven,2024-2025,29,Las Palmas,es ESP,Copa del Rey,1,0,32,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Sven Bender,2020-2021,31,Leverkusen,de GER,1. Bundesliga,18,14,1170,13.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,42,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,,,,,,
Lucas Alario,2020-2021,27,Leverkusen,de GER,1. Bundesliga,25,12,1245,13.8,11,2,13,9,2,2,2,0,7.2,5.7,0.9,6.6,7,21,75,0.80,0.14,0.94,0.65,0.80,0.52,0.07,0.59,0.41,0.48,Matches,,,,,,
Lucas Alario,2021-2022,28,Leverkusen,de GER,1. Bundesliga,27,5,655,7.3,6,0,6,6,0,1,2,0,6.0,5.2,1.0,6.2,6,10,44,0.82,0.00,0.82,0.82,0.82,0.82,0.14,0.96,0.71,0.85,Matches,,,,,,
Lucas Alario,2022-2023,29,Eint Frankfurt,de GER,1. Bundesliga,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2,8,17,0.27,0.00,0.27,0.27,0.27,0.39,0.01,0.40,0.39,0.40,Matches,,,,,,
Julian Baumgartlinger,2020-2021,32,Leverkusen,de GER,1. Bundesliga,17,12,1072,11.9,2,0,2,2,0,0,1,0,1.0,1.0,0.2,1.2,3,51,8,0.17,0.00,0.17,0.17,0.17,0.08,0.01,0.10,0.08,0.10,Matches,,,,,,
Julian Baumgartlinger,2021-2022,33,Leverkusen,de GER,1. Bundesliga,6,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Julian Baumgartlinger,2022-2023,34,Augsburg,de GER,1. Bundesliga,16,3,554,6.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,25,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,,,,,,
Lars Bender,2020-2021,31,Leverkusen,de GER,1. Bundesliga,14,12,936,10.4,1,2,3,0,1,1,2,0,1.7,0.9,0.6,1.5,15,55,31,0.10,0.19,0.29,0.00,0.19,0.16,0.06,0.22,0.08,0.14,Matches,,,,,,
Aleksandar Dragovic,2020-2021,29,Leverkusen,de GER,1. Bundesliga,18,11,1136,12.6,1,0,1,1,0,0,3,0,0.2,0.2,0.6,0.8,15,99,16,0.08,0.00,0.08,0.08,0.08,0.02,0.05,0.06,0.02,0.06,Matches,,,,,,
Aleksandar Dragovic,2021-2022,30,Red Star,,2. Europa Lg,7,7,630,7.0,0,0,0,0,0,0,2,0,0.4,0.2,0.1,0.3,5,16,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.03,0.04,Matches,,,,,,
Aleksandar Dragovic,2022-2023,31,Red Star,,2. Europa Lg,5,5,421,4.7,0,0,0,0,0,0,3,0,0.5,0.5,0.0,0.5,5,16,0,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.11,0.11,0.11,Matches,,,,,,
Aleksandar Dragovic,2023-2024,32,Red Star,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,3,16,0,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches,,,,,,
Aleksandar Dragovic,2024-2025,33,Austria Wien,at AUT,1. Bundesliga,15,15,1276,14.2,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Karim Bellarabi,2020-2021,30,Leverkusen,de GER,1. Bundesliga,22,7,798,8.9,0,0,0,0,0,0,2,0,1.8,1.8,2.6,4.4,42,25,109,0.00,0.00,0.00,0.00,0.00,0.20,0.29,0.50,0.20,0.50,Matches,,,,,,
Karim Bellarabi,2021-2022,31,Leverkusen,de GER,1. Bundesliga,16,9,683,7.6,3,2,5,3,0,0,2,0,2.0,2.0,1.2,3.2,24,17,69,0.40,0.26,0.66,0.40,0.66,0.27,0.15,0.42,0.27,0.42,Matches,,,,,,
Karim Bellarabi,2022-2023,32,Leverkusen,de GER,1. Bundesliga,8,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Exequiel Palacios,2020-2021,21,Leverkusen,de GER,1. Bundesliga,9,7,572,6.4,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,4,34,5,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches,,,,,,
Exequiel Palacios,2021-2022,22,Leverkusen,de GER,1. Bundesliga,23,12,1097,12.2,2,2,4,2,0,0,2,0,0.8,0.8,2.2,2.9,10,77,17,0.16,0.16,0.33,0.16,0.33,0.06,0.18,0.24,0.06,0.24,Matches,,,,,,
Exequiel Palacios,2022-2023,23,Leverkusen,de GER,1. Bundesliga,25,19,1654,18.4,4,2,6,1,3,3,4,0,3.0,0.6,1.3,1.9,12,105,27,0.22,0.11,0.33,0.05,0.16,0.16,0.07,0.23,0.03,0.11,Matches,,,,,,
Exequiel Palacios,2023-2024,24,Leverkusen,de GER,1. Bundesliga,24,21,1831,20.3,4,4,8,2,2,2,6,0,3.3,1.8,3.8,5.5,24,162,45,0.20,0.20,0.39,0.10,0.29,0.16,0.19,0.35,0.09,0.27,Matches,,,,,,
Exequiel Palacios,2024-2025,25,Leverkusen,de GER,1. Bundesliga,8,3,259,2.9,1,3,4,1,0,0,0,0,0.2,0.2,1.2,1.4,3,21,11,0.35,1.04,1.39,0.35,1.39,0.08,0.40,0.48,0.08,0.48,Matches,,,,,,
Demarai Gray,2020-2021,24,Leverkusen,de GER,1. Bundesliga,10,5,442,4.9,1,2,3,1,0,0,0,0,1.4,1.4,0.9,2.3,27,12,44,0.20,0.41,0.61,0.20,0.61,0.28,0.18,0.46,0.28,0.46,Matches,,,,,,
Demarai Gray,2021-2022,25,Everton,eng ENG,EFL Cup,2,0,34,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Demarai Gray,2022-2023,26,Everton,eng ENG,EFL Cup,2,1,114,1.3,2,0,2,2,0,0,0,0,,,,,,,,1.58,0.00,1.58,1.58,1.58,,,,,,Matches,,,,,,
Demarai Gray,2023-2024,27,Al-Ettifaq,sa KSA,1. Pro League,23,21,1807,20.1,4,3,7,4,0,0,2,2,,,,,,,,0.20,0.15,0.35,0.20,0.35,,,,,,Matches,,,,,,
Demarai Gray,2024-2025,28,Al-Ettifaq,sa KSA,1. Saudi Professional League,6,4,392,4.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Jeremie Frimpong,2020-2021,19,Leverkusen,de GER,1. Bundesliga,10,4,436,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,30,29,47,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.22,0.03,0.22,Matches,,,,,,
Jeremie Frimpong,2021-2022,20,Leverkusen,de GER,1. Bundesliga,25,25,2052,22.8,1,6,7,1,0,0,6,0,0.6,0.6,4.2,4.8,112,70,121,0.04,0.26,0.31,0.04,0.31,0.03,0.18,0.21,0.03,0.21,Matches,,,,,,
Jeremie Frimpong,2022-2023,21,Leverkusen,de GER,1. Bundesliga,34,32,2708,30.1,8,7,15,8,0,0,4,0,7.6,7.6,6.2,13.8,155,62,250,0.27,0.23,0.50,0.27,0.50,0.25,0.21,0.46,0.25,0.46,Matches,,,,,,
Jeremie Frimpong,2023-2024,22,Leverkusen,de GER,1. Bundesliga,31,27,2251,25.0,9,7,16,9,0,0,6,0,8.2,8.2,5.9,14.0,153,49,348,0.36,0.28,0.64,0.36,0.64,0.33,0.23,0.56,0.33,0.56,Matches,,,,,,
