Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,Playing Time : MP
Jonathan Ikone,2024-2025,26,Fiorentina,,3. Conf Lg,6,6,483,5.4,4,0,4,4,0,0,0,0,3.0,3.0,1.3,4.3,29,29,64,0.75,0.00,0.75,0.75,0.75,0.56,0.25,0.81,0.56,0.81,Matches,,
Reinildo Mandava,2018-2019,24,Lille,fr FRA,1. Ligue 1,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,4,8,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches,,
Reinildo Mandava,2019-2020,25,Lille,,1. Champions Lg,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,
Reinildo Mandava,2020-2021,26,Lille,fr FRA,Coupe de France,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Reinildo Mandava,2021-2022,27,Lille,,1. Champions Lg,6,5,457,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,11,13,8,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,
Reinildo Mandava,2022-2023,28,Atlético Madrid,,1. Champions Lg,6,6,511,5.7,0,0,0,0,0,0,2,0,0.3,0.1,0.1,0.2,12,34,18,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.01,0.03,Matches,,
Reinildo Mandava,2023-2024,29,Atlético Madrid,,1. Champions Lg,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,
Reinildo Mandava,2024-2025,30,Atlético Madrid,,1. Champions Lg,4,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8,12,5,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,
Burak Yilmaz,2010-2011,25,Trabzonspor,tr TUR,1. Süper Lig,30,27,2304,25.6,19,2,21,17,2,4,12,0,,,,,,,,0.74,0.08,0.82,0.66,0.74,,,,,,Matches,,
Burak Yilmaz,2011-2012,26,Trabzonspor,,1. Champions Lg,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,
