Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Playing Time
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,Matches,Matches,MP
Milan Skriniar,2023-2024,28,Paris S-G,,1. Champions Lg,6,6,538,6.0,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,1,29,1,0.17,0.00,0.17,0.17,0.17,0.09,0.01,0.10,0.09,0.10,Matches,,,,,,
Milan Skriniar,2024-2025,29,Paris S-G,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Stefan de Vrij,2020-2021,28,Inter,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,25,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,,,,,,
Stefan de Vrij,2021-2022,29,Inter,,1. Champions Lg,6,6,485,5.4,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.6,3,21,2,0.19,0.00,0.19,0.19,0.19,0.11,0.01,0.12,0.11,0.12,Matches,,,,,,
Stefan de Vrij,2022-2023,30,Inter,,1. Champions Lg,7,3,299,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Stefan de Vrij,2023-2024,31,Inter,,1. Champions Lg,6,5,496,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,14,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,
Stefan de Vrij,2024-2025,32,Inter,,1. Champions Lg,5,5,423,4.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,14,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,
Lautaro Martinez,2020-2021,22,Inter,,1. Champions Lg,6,5,405,4.5,1,1,2,1,0,0,1,0,2.3,2.3,0.3,2.7,5,9,31,0.22,0.22,0.44,0.22,0.44,0.52,0.08,0.59,0.52,0.59,Matches,,,,,,
Lautaro Martinez,2021-2022,23,Inter,,1. Champions Lg,8,8,580,6.4,1,0,1,1,0,0,1,0,2.4,2.4,1.4,3.7,9,16,50,0.16,0.00,0.16,0.16,0.16,0.37,0.21,0.58,0.37,0.58,Matches,,,,,,
Lautaro Martinez,2022-2023,24,Inter,,1. Champions Lg,13,12,997,11.1,3,3,6,3,0,0,3,0,2.9,2.9,1.8,4.7,11,28,50,0.27,0.27,0.54,0.27,0.54,0.26,0.17,0.43,0.26,0.43,Matches,,,,,,
