Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches
Fabian Ruiz Pena,2021-2022,25,Napoli,it ITA,Coppa Italia,1,0,26,0.3,0,0,0,0,0,0,2,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Fabian Ruiz Pena,2022-2023,26,Paris S-G,,1. Champions Lg,7,3,238,2.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,4,15,15,0.00,0.00,0.00,0.00,0.00,0.11,0.08,0.20,0.11,0.20,Matches,,,,,
Fabian Ruiz Pena,2023-2024,27,Paris S-G,,1. Champions Lg,9,7,619,6.9,0,2,2,0,0,0,2,0,1.4,1.4,0.6,1.9,14,48,31,0.00,0.29,0.29,0.00,0.29,0.20,0.09,0.28,0.20,0.28,Matches,,,,,
Fabian Ruiz Pena,2024-2025,28,Paris S-G,,1. Champions Lg,6,4,325,3.6,0,1,1,0,0,0,2,0,0.2,0.2,0.9,1.2,6,17,12,0.00,0.28,0.28,0.00,0.28,0.07,0.25,0.32,0.07,0.32,Matches,,,,,
Matvei Safonov,2020-2021,21,Krasnodar,,1. Champions Lg,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Matvei Safonov,2021-2022,22,Krasnodar,ru RUS,1. Premier League,27,27,2430,27.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Matvei Safonov,2022-2023,23,Krasnodar,ru RUS,1. Premier League,27,27,2430,27.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Matvei Safonov,2023-2024,24,Krasnodar,ru RUS,1. Premier League,30,30,2655,29.5,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,Matches,,,,,
Matvei Safonov,2024-2025,25,Paris S-G,,1. Champions Lg,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Ibrahim Mbaye,2024-2025,16,Paris S-G,fr FRA,1. Ligue 1,,1,87,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,3,15,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,,1st,5.0,Matches,,
