Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 23_level_0,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches,Matches
Goncalo Inacio,2023-2024,21,Sporting CP,,2. Europa Lg,9,8,685.0,7.6,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,0.1,1.5,4.0,43.0,1.0,0.39,0.0,0.39,0.39,0.39,0.19,0.01,0.2,0.19,0.2,Matches,,,,,,
Goncalo Inacio,2024-2025,22,Sporting CP,,1. Champions Lg,4,4,279.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,5.0,0.0,0.32,0.0,0.32,0.32,0.32,0.04,0.0,0.04,0.04,0.04,Matches,,,,,,
Matheus Nunes,2020-2021,21,Sporting CP,pt POR,1. Primeira Liga,31,12,1272,14.1,3,2,5,3,0,0,5,0,2.4,2.4,0.6,3.0,35,38,52,0.21,0.14,0.35,0.21,0.35,0.17,0.04,0.21,0.17,0.21,Matches,,,,,,
Matheus Nunes,2021-2022,22,Sporting CP,,1. Champions Lg,6,6,508,5.6,0,2,2,0,0,0,3,0,0.0,0.0,0.3,0.4,18,22,14,0.00,0.35,0.35,0.00,0.35,0.01,0.06,0.07,0.01,0.07,Matches,,,,,,
Matheus Nunes,2022-2023,23,Wolves,eng ENG,EFL Cup,3,2,240,2.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Matheus Nunes,2023-2024,24,Manchester City,,1. Champions Lg,7,5,422,4.7,0,1,1,0,0,0,0,0,1.7,1.7,1.2,2.9,21,36,41,0.00,0.21,0.21,0.00,0.21,0.36,0.25,0.61,0.36,0.61,Matches,,,,,,
Matheus Nunes,2024-2025,25,Manchester City,,1. Champions Lg,5,4,364,4.0,1,3,4,0,1,1,1,0,0.9,0.2,2.0,2.2,21,23,59,0.25,0.74,0.99,0.00,0.74,0.23,0.50,0.73,0.04,0.54,Matches,,,,,,
Jovane Cabral,2020-2021,22,Sporting CP,pt POR,1. Primeira Liga,24,6,689,7.7,5,4,9,2,3,3,2,0,4.7,2.3,2.9,5.2,28,40,62,0.65,0.52,1.18,0.26,0.78,0.61,0.38,0.99,0.30,0.68,Matches,,,,,,
Jovane Cabral,2021-2022,23,Sporting CP,,1. Champions Lg,3,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.54,0.00,0.54,Matches,,,,,,
Jovane Cabral,2022-2023,24,Sporting CP,,1. Champions Lg,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Jovane Cabral,2023-2024,25,Salernitana,it ITA,Coppa Italia,1,0,27,0.3,1,0,1,1,0,0,0,0,,,,,,,,3.33,0.00,3.33,3.33,3.33,,,,,,Matches,,,,,,
Jovane Cabral,2024-2025,26,Estrela,pt POR,1. Primeira Liga,9,7,478,5.3,0,1,1,0,0,1,0,0,1.4,0.6,0.6,1.2,11,19,25,0.00,0.19,0.19,0.00,0.19,0.26,0.12,0.38,0.11,0.23,Matches,,,,,,
Andraz Sporar,2020-2021,26,Braga,,2. Europa Lg,2,2,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,6,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,
Andraz Sporar,2021-2022,27,Middlesbrough,eng ENG,2. Championship,35,28,2371,26.3,8,2,10,5,3,3,3,0,13.4,11.1,2.3,13.4,29,49,136,0.30,0.08,0.38,0.19,0.27,0.51,0.09,0.60,0.42,0.51,Matches,,,,,,
Andraz Sporar,2022-2023,28,Panathinaikos,gr GRE,1. Super League,32,20,1817,20.2,11,4,15,7,4,5,3,0,,,,,,,,0.54,0.20,0.74,0.35,0.54,,,,,,Matches,,,,,,
Andraz Sporar,2023-2024,29,Panathinaikos,,2. Europa Lg,6,1,137,1.5,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,1,2,8,0.66,0.00,0.66,0.66,0.66,0.35,0.03,0.38,0.35,0.38,Matches,,,,,,
Andraz Sporar,2024-2025,30,Panathinaikos,,3. Conf Lg,3,1,98,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Matches,,,,,,
Matheus Reis,2020-2021,25,Sporting CP,pt POR,1. Primeira Liga,15,4,545,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,10,29,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,
Matheus Reis,2021-2022,26,Sporting CP,,1. Champions Lg,8,7,607,6.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,21,11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,
Matheus Reis,2022-2023,27,Sporting CP,,1. Champions Lg,6,5,509,5.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,13,7,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,,,,,,
Matheus Reis,2023-2024,28,Sporting CP,,2. Europa Lg,10,9,739,8.2,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,13,29,29,0.00,0.12,0.12,0.00,0.12,0.01,0.08,0.09,0.01,0.09,Matches,,,,,,
Matheus Reis,2024-2025,29,Sporting CP,,1. Champions Lg,5,2,280,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,
Vitorino Antunes,2020-2021,33,Sporting CP,pt POR,1. Primeira Liga,8,4,354,3.9,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,7,18,24,0.00,0.25,0.25,0.00,0.25,0.04,0.05,0.09,0.04,0.09,Matches,,,,,,
Vitorino Antunes,2021-2022,34,Paços,pt POR,1. Primeira Liga,30,30,2540,28.2,3,5,8,1,2,2,11,0,3.1,1.5,4.7,6.2,45,104,57,0.11,0.18,0.28,0.04,0.21,0.11,0.17,0.28,0.05,0.22,Matches,,,,,,
Vitorino Antunes,2022-2023,35,Paços,pt POR,1. Primeira Liga,31,31,2665,29.6,1,2,3,0,1,1,12,1,1.6,0.9,2.9,3.8,62,147,62,0.03,0.07,0.10,0.00,0.07,0.06,0.10,0.15,0.03,0.13,Matches,,,,,,
Joao Pereira,2020-2021,36,Sporting CP,pt POR,1. Primeira Liga,5,3,264,2.9,0,0,0,0,0,0,1,1,0.0,0.0,0.7,0.8,7,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.25,0.26,0.01,0.26,Matches,,,,,,
Luciano Vietto,2020-2021,26,Sporting CP,pt POR,1. Primeira Liga,3,2,169,1.9,1,1,2,1,0,0,1,0,1.0,1.0,0.6,1.6,4,9,8,0.53,0.53,1.07,0.53,1.07,0.56,0.30,0.86,0.56,0.86,Matches,,,,,,
Luciano Vietto,2021-2022,27,Al-Shabab,sa KSA,1. Pro League,7,4,360,4.0,2,1,3,2,0,0,1,0,,,,,,,,0.50,0.25,0.75,0.50,0.75,,,,,,Matches,,,,,,
Luciano Vietto,2022-2023,28,Al-Hilal,sa KSA,1. Pro League,20,13,1101,12.2,3,2,5,3,0,0,1,0,,,,,,,,0.25,0.16,0.41,0.25,0.41,,,,,,Matches,,,,,,
Cristian Borja,2020-2021,27,Braga,,2. Europa Lg,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,
Cristian Borja,2021-2022,28,Alanyaspor,tr TUR,1. Süper Lig,28,24,2160,24.0,1,0,1,1,0,0,1,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,Matches,,,,,,
Cristian Borja,2022-2023,29,Braga,,3. Conf Lg,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Cristian Borja,2023-2024,30,Braga,,1. Champions Lg,6,6,517,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,18,26,34,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches,,,,,,
Cristian Borja,2024-2025,31,América,mx MEX,1. Liga MX,12,8,721,8.0,0,1,1,0,0,0,0,0,0.0,0.0,1.2,1.2,22,28,40,0.00,0.12,0.12,0.00,0.12,0.01,0.15,0.15,0.01,0.15,Matches,,,,,,
Wendel,2020-2021,22,Zenit,,1. Champions Lg,4,1,141,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,2,5,4,0.00,0.00,0.00,0.00,0.00,0.07,0.39,0.46,0.07,0.46,Matches,,,,,,
Wendel,2021-2022,23,Zenit,,1. Champions Lg,6,6,481,5.3,1,0,1,1,0,0,1,0,0.9,0.9,0.2,1.1,13,33,14,0.19,0.00,0.19,0.19,0.19,0.17,0.03,0.20,0.17,0.20,Matches,,,,,,
Wendel,2022-2023,24,Zenit,ru RUS,1. Premier League,25,24,2052,22.8,8,3,11,8,0,0,3,0,,,,,,,,0.35,0.13,0.48,0.35,0.48,,,,,,Matches,,,,,,
Wendel,2023-2024,25,Zenit,ru RUS,1. Premier League,27,26,2295,25.5,4,8,12,4,0,0,3,0,,,,,,,,0.16,0.31,0.47,0.16,0.47,,,,,,Matches,,,,,,
Wendel,2024-2025,26,Zenit,ru RUS,1. Russian Premier League,15,15,1210,13.4,1,8,9,1,0,0,4,0,,,,,,,,0.07,0.60,0.67,0.07,0.67,,,,,,Matches,,,,,,
Andre Paulo,2020-2021,23,Sporting CP,pt POR,1. Primeira Liga,,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1st,1.0,Matches,,,
Andre Paulo,2021-2022,24,Sporting CP,pt POR,1. Primeira Liga,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2nd,1.0,Matches,,,
Andre Paulo,2022-2023,25,Sporting CP,pt POR,1. Primeira Liga,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4th,0.0,Matches,,,
Dario Essugo,2020-2021,15,Sporting CP,pt POR,1. Primeira Liga,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Dario Essugo,2021-2022,16,Sporting CP,,1. Champions Lg,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Dario Essugo,2022-2023,17,Sporting CP,,1. Champions Lg,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Dario Essugo,2023-2024,18,Sporting CP,,2. Europa Lg,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,Matches,,,,,,
Dario Essugo,2024-2025,19,Las Palmas,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Joelson Fernandes,2020-2021,17,Sporting CP,pt POR,1. Primeira Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Joelson Fernandes,2021-2022,18,Basel,,3. Conf Lg,2,0,56,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.39,0.51,0.13,0.51,Matches,,,,,,
Joelson Fernandes,2023-2024,20,Hatayspor,tr TUR,1. Süper Lig,31,14,1402,15.6,0,3,3,0,0,0,6,1,,,,,,,,0.00,0.19,0.19,0.00,0.19,,,,,,Matches,,,,,,
Joelson Fernandes,2024-2025,21,Hatayspor,tr TUR,1. Süper Lig,15,12,1044,11.6,2,2,4,2,0,0,3,0,,,,,,,,0.17,0.17,0.34,0.17,0.34,,,,,,Matches,,,,,,
Rodrigo Fernandes,2020-2021,19,Sporting CP,pt POR,1. Primeira Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Flavio Nazinho,2020-2021,17,Sporting CP,pt POR,1. Primeira Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Flavio Nazinho,2021-2022,18,Sporting CP,,1. Champions Lg,2,0,21,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Matches,,,,,,
Flavio Nazinho,2022-2023,19,Sporting CP,,1. Champions Lg,3,0,120,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,1,0,4,0.00,0.00,0.00,0.00,0.00,0.33,0.01,0.35,0.33,0.35,Matches,,,,,,
Flavio Nazinho,2023-2024,20,Cercle Brugge,be BEL,1. Pro League A,20,14,1130,12.6,1,0,1,1,0,0,5,1,0.2,0.2,1.6,1.9,29,43,42,0.08,0.00,0.08,0.08,0.08,0.02,0.13,0.15,0.02,0.15,Matches,,,,,,
Flavio Nazinho,2024-2025,21,Cercle Brugge,,3. Conf Lg,2,1,105,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,7,6,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.23,0.06,0.23,Matches,,,,,,
Bruno Paz,2020-2021,22,Sporting CP,pt POR,1. Primeira Liga,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Bruno Paz,2022-2023,24,Konyaspor,tr TUR,1. Süper Lig,28,10,1283,14.3,1,2,3,1,0,0,5,0,,,,,,,,0.07,0.14,0.21,0.07,0.21,,,,,,Matches,,,,,,
Bruno Paz,2023-2024,25,Konyaspor,tr TUR,1. Süper Lig,6,3,303,3.4,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Joao Silva,2020-2021,21,Sporting CP,pt POR,1. Primeira Liga,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st,0,Matches,,,
Joao Silva,2021-2022,22,Istra 1961,hr CRO,1. 1. HNL,,29,2535,28.2,1,,,1,0,0,6,1,,,,,,,,0.04,,,0.04,,,,,,,,9th,30,Matches,,,
Joao Silva,2022-2023,23,Kortrijk,be BEL,1. Pro League A,,18,1570,17.4,2,1,3,2,0,0,6,0,1.4,1.4,0.2,1.6,8,40,2,0.11,0.06,0.17,0.11,0.17,0.08,0.01,0.09,0.08,0.09,,14th,22,Matches,,,
Joao Silva,2023-2024,24,Kortrijk,be BEL,1. Pro League A,,29,2561,28.5,0,0,0,0,0,0,4,0,0.4,0.4,0.3,0.7,6,41,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,,14th,30,Matches,,,
Joao Silva,2024-2025,25,Kortrijk,be BEL,1. Pro League A,,18,1542,17.1,1,0,1,1,0,0,3,0,0.7,0.7,0.0,0.7,2,53,0,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04,,14th,18,Matches,,,
Wilson Manafa,2020-2021,26,Porto,,1. Champions Lg,9,8,743,8.3,0,1,1,0,0,0,1,0,0.0,0.0,0.9,0.9,16,26,31,0.00,0.12,0.12,0.00,0.12,0.00,0.11,0.11,0.00,0.11,Matches,,,,,,
Wilson Manafa,2021-2022,27,Porto,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Wilson Manafa,2022-2023,28,Porto,pt POR,1. Primeira Liga,7,5,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,10,15,27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,
Wilson Manafa,2023-2024,29,Granada,es ESP,Copa del Rey,1,1,90,1.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,1.00,1.00,0.00,1.00,,,,,,Matches,,,,,,
Mateus Uribe,2020-2021,29,Porto,,1. Champions Lg,9,8,746,8.3,1,1,2,1,0,0,1,0,0.4,0.4,0.1,0.5,3,15,3,0.12,0.12,0.24,0.12,0.24,0.05,0.02,0.06,0.05,0.06,Matches,,,,,,
Mateus Uribe,2021-2022,30,Porto,,1. Champions Lg,4,4,286,3.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,0,8,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,,,,,,
Mateus Uribe,2022-2023,31,Porto,,1. Champions Lg,7,7,610,6.8,1,0,1,0,1,1,3,0,1.4,0.6,0.5,1.1,5,33,9,0.15,0.00,0.15,0.00,0.00,0.20,0.07,0.27,0.08,0.16,Matches,,,,,,
Pepe,2020-2021,37,Porto,,1. Champions Lg,6,6,570,6.3,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,0,14,0,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches,,,,,,
Pepe,2021-2022,38,Porto,,1. Champions Lg,5,5,347,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7,1,14,0,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Matches,,,,,,
