Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 23_level_0,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches,Matches
Marc Andre ter Stegen,2021-2022,29,Barcelona,,1. Champions Lg,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Marc Andre ter Stegen,2022-2023,30,Barcelona,,1. Champions Lg,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Marc Andre ter Stegen,2023-2024,31,Barcelona,,1. Champions Lg,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Marc Andre ter Stegen,2024-2025,32,Barcelona,,1. Champions Lg,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Pedri,2020-2021,17,Barcelona,,1. Champions Lg,7,6,491,5.5,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,8,33,43,0.18,0.18,0.37,0.18,0.37,0.11,0.05,0.17,0.11,0.17,Matches,,,,,,
Pedri,2021-2022,18,Barcelona,,1. Champions Lg,2,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,5,10,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,
Pedri,2022-2023,19,Barcelona,,1. Champions Lg,5,5,401,4.5,0,0,0,0,0,0,0,0,0.9,0.9,0.8,1.7,16,35,30,0.00,0.00,0.00,0.00,0.00,0.21,0.18,0.39,0.21,0.39,Matches,,,,,,
Pedri,2023-2024,20,Barcelona,,1. Champions Lg,6,3,329,3.7,0,3,3,0,0,0,0,0,0.3,0.3,0.7,1.0,8,25,15,0.00,0.82,0.82,0.00,0.82,0.09,0.19,0.29,0.09,0.29,Matches,,,,,,
Pedri,2024-2025,21,Barcelona,,1. Champions Lg,6,6,462,5.1,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.6,7,43,13,0.00,0.19,0.19,0.00,0.19,0.05,0.06,0.11,0.05,0.11,Matches,,,,,,
Oscar Mingueza,2020-2021,21,Barcelona,,1. Champions Lg,5,3,243,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.9,0,10,3,0.00,0.37,0.37,0.00,0.37,0.05,0.27,0.32,0.05,0.32,Matches,,,,,,
Oscar Mingueza,2021-2022,22,Barcelona,,1. Champions Lg,5,2,222,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,9,15,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,,,,,,
Oscar Mingueza,2022-2023,23,Celta Vigo,es ESP,Copa del Rey,2,2,145,1.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Oscar Mingueza,2023-2024,24,Celta Vigo,es ESP,Copa del Rey,3,1,117,1.3,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.77,0.77,0.00,0.77,,,,,,Matches,,,,,,
Oscar Mingueza,2024-2025,25,Celta Vigo,es ESP,Copa del Rey,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Ousmane Dembele,2020-2021,23,Barcelona,,1. Champions Lg,6,4,382,4.2,3,2,5,2,1,1,0,0,3.5,2.7,1.3,3.9,34,11,58,0.71,0.47,1.18,0.47,0.94,0.82,0.30,1.12,0.63,0.93,Matches,,,,,,
Ousmane Dembele,2021-2022,24,Barcelona,,1. Champions Lg,3,1,123,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,13,4,25,0.00,0.00,0.00,0.00,0.00,0.19,0.12,0.31,0.19,0.31,Matches,,,,,,
