Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches
Rick Karsdorp,2015-2016,20,Feyenoord,nl NED,1. Eredivisie,29,28,2461,27.3,0,10,10,0,0,0,4,1,,,,,,,,0.00,0.37,0.37,0.00,0.37,,,,,,Matches,,,,,
Rick Karsdorp,2016-2017,21,Feyenoord,nl NED,1. Eredivisie,30,29,2537,28.2,1,4,5,1,0,0,3,0,,,,,,,,0.04,0.14,0.18,0.04,0.18,,,,,,Matches,,,,,
Rick Karsdorp,2017-2018,22,Roma,it ITA,1. Serie A,1,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Rick Karsdorp,2018-2019,23,Roma,,1. Champions Lg,2,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,,,,,
Rick Karsdorp,2019-2020,24,Feyenoord,nl NED,1. Eredivisie,15,13,1135,12.6,1,3,4,0,1,1,1,0,1.4,0.7,3.1,3.7,41,64,82,0.08,0.24,0.32,0.00,0.24,0.11,0.25,0.36,0.05,0.30,Matches,,,,,
Rick Karsdorp,2020-2021,25,Roma,it ITA,Coppa Italia,1,0,52,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Rick Karsdorp,2021-2022,26,Roma,,3. Conf Lg,11,9,833,9.3,0,4,4,0,0,0,2,0,0.0,0.0,2.6,2.6,13,45,46,0.00,0.43,0.43,0.00,0.43,0.00,0.28,0.28,0.00,0.28,Matches,,,,,
Rick Karsdorp,2022-2023,27,Roma,,2. Europa Lg,5,4,276,3.1,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,5,6,19,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,,,,,
Rick Karsdorp,2023-2024,28,Roma,it ITA,Coppa Italia,2,2,130,1.4,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Rick Karsdorp,2024-2025,29,PSV Eindhoven,,1. Champions Lg,4,3,230,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,27,8,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07,Matches,,,,,
Ricardo Pepi,2021-2022,18,Augsburg,de GER,1. Bundesliga,11,4,477,5.3,0,0,0,0,0,0,0,0,0.8,0.8,0.6,1.5,1,4,27,0.00,0.00,0.00,0.00,0.00,0.16,0.12,0.28,0.16,0.28,Matches,,,,,
Ricardo Pepi,2022-2023,19,Augsburg,de GER,1. Bundesliga,4,1,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,1,4,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.14,0.09,0.14,Matches,,,,,
Ricardo Pepi,2023-2024,20,PSV Eindhoven,,1. Champions Lg,8,1,136,1.5,1,1,2,1,0,0,1,0,0.8,0.8,0.2,0.9,3,4,12,0.66,0.66,1.32,0.66,1.32,0.52,0.10,0.62,0.52,0.62,Matches,,,,,
Ricardo Pepi,2024-2025,21,PSV Eindhoven,,1. Champions Lg,5,0,84,0.9,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.3,0,1,12,1.07,0.00,1.07,1.07,1.07,1.13,0.21,1.35,1.13,1.35,Matches,,,,,
Fredrik Oppegard,2020-2021,17,Jong PSV,nl NED,2. Eerste Divisie,24,22,1890,21.0,1,4,5,1,0,0,1,0,,,,,,,,0.05,0.19,0.24,0.05,0.24,,,,,,Matches,,,,,
Fredrik Oppegard,2021-2022,18,PSV Eindhoven,,3. Conf Lg,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Fredrik Oppegard,2022-2023,19,Jong PSV,nl NED,2. Eerste Divisie,7,7,499,5.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Fredrik Oppegard,2023-2024,20,PSV Eindhoven,,1. Champions Lg,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Fredrik Oppegard,2024-2025,21,PSV Eindhoven,,1. Champions Lg,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Couhaib Driouech,2020-2021,18,Heerenveen,nl NED,1. Eredivisie,,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,1,11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,5,,,,
Couhaib Driouech,2021-2022,19,Excelsior,nl NED,2. Eerste Divisie,,1,462,5.1,3,3,6,3,0,0,1,0,,,,,,,,0.58,0.58,1.17,0.58,1.17,,,,,,Matches,26,,,,
Couhaib Driouech,2022-2023,20,Excelsior,nl NED,1. Eredivisie,,27,2342,26.0,3,3,6,3,0,0,5,0,5.6,5.6,2.5,8.1,86,59,173,0.12,0.12,0.23,0.12,0.23,0.21,0.10,0.31,0.21,0.31,Matches,33,,,,
Couhaib Driouech,2023-2024,21,Excelsior,nl NED,1. Eredivisie,,24,1920,21.3,6,6,12,6,0,0,4,0,4.3,4.3,5.7,10.0,123,64,147,0.28,0.28,0.56,0.28,0.56,0.20,0.27,0.47,0.20,0.47,Matches,26,,,,
Couhaib Driouech,2024-2025,22,PSV Eindhoven,,1. Champions Lg,,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,10,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2,,,,
Adamo Nagalo,2020-2021,17,Nordsjælland,dk DEN,1. Danish Superliga,6,4,340,3.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Adamo Nagalo,2021-2022,18,Nordsjælland,dk DEN,1. Danish Superliga,27,23,2028,22.5,1,1,2,1,0,0,3,1,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,Matches,,,,,
Adamo Nagalo,2022-2023,19,Nordsjælland,dk DEN,1. Danish Superliga,28,28,2442,27.1,1,1,2,1,0,0,6,2,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches,,,,,
Adamo Nagalo,2023-2024,20,Nordsjælland,,3. Conf Lg,6,5,445,4.9,0,2,2,0,0,0,0,0,0.1,0.1,0.2,0.3,1,19,2,0.00,0.40,0.40,0.00,0.40,0.01,0.04,0.05,0.01,0.05,Matches,,,,,
Adamo Nagalo,2024-2025,21,PSV Eindhoven,,1. Champions Lg,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Michael Bresser,2024-2025,17,Jong PSV,nl NED,2. Eerste Divisie,,5,353,3.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,17th,5,Matches,
Emmanuel van de Blaak,2020-2021,15,Jong PSV,nl NED,2. Eerste Divisie,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,
Emmanuel van de Blaak,2021-2022,16,Jong PSV,nl NED,2. Eerste Divisie,11,8,857,9.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Emmanuel van de Blaak,2022-2023,17,Jong PSV,nl NED,2. Eerste Divisie,12,9,830,9.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Emmanuel van de Blaak,2023-2024,18,Jong PSV,nl NED,2. Eerste Divisie,31,29,2645,29.4,2,2,4,1,1,1,2,0,,,,,,,,0.07,0.07,0.14,0.03,0.10,,,,,,Matches,,,,,
Emmanuel van de Blaak,2024-2025,19,Jong PSV,nl NED,2. Eerste Divisie,19,18,1625,18.1,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Wessel Kuhn,2023-2024,16,Jong PSV,nl NED,2. Eerste Divisie,,4,486,5.4,1,0,1,1,0,0,1,0,,,,,,,,0.19,0.00,0.19,0.19,0.19,,,,,,,,16th,11,,Matches
Wessel Kuhn,2024-2025,17,Jong PSV,nl NED,2. Eerste Divisie,,11,1114,12.4,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,17th,15,,Matches
Tijn Smolenaars,2022-2023,17,Jong PSV,nl NED,2. Eerste Divisie,,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,14th,1,,Matches
Tijn Smolenaars,2023-2024,18,Jong PSV,nl NED,2. Eerste Divisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16th,0,,Matches
Tijn Smolenaars,2024-2025,19,Jong PSV,nl NED,2. Eerste Divisie,,2,254,2.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,17th,3,,Matches
Bertrand Traore,2013-2014,17,Vitesse,nl NED,1. Eredivisie,13,6,608,6.8,3,0,3,3,0,0,1,0,,,,,,,,0.44,0.00,0.44,0.44,0.44,,,,,,Matches,,,,,
Bertrand Traore,2014-2015,18,Vitesse,nl NED,1. Eredivisie,29,27,2141,23.8,13,4,17,13,0,0,5,0,,,,,,,,0.55,0.17,0.71,0.55,0.71,,,,,,Matches,,,,,
Bertrand Traore,2015-2016,19,Chelsea,,1. Champions Lg,2,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Bertrand Traore,2016-2017,20,Ajax,nl NED,1. Eredivisie,24,22,1785,19.8,9,1,10,9,0,0,4,0,,,,,,,,0.45,0.05,0.50,0.45,0.50,,,,,,Matches,,,,,
Bertrand Traore,2017-2018,21,Lyon,fr FRA,Coupe de France,3,2,183,2.0,1,2,3,1,0,0,1,0,,,,,,,,0.49,0.98,1.48,0.49,1.48,,,,,,Matches,,,,,
Bertrand Traore,2018-2019,22,Lyon,,1. Champions Lg,8,4,320,3.6,1,1,2,1,0,0,1,0,1.4,1.4,0.5,1.9,14,19,33,0.28,0.28,0.56,0.28,0.56,0.41,0.13,0.53,0.41,0.53,Matches,,,,,
Bertrand Traore,2019-2020,23,Lyon,,1. Champions Lg,5,2,231,2.6,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,19,10,24,0.39,0.00,0.39,0.39,0.39,0.18,0.08,0.26,0.18,0.26,Matches,,,,,
Bertrand Traore,2020-2021,24,Aston Villa,eng ENG,EFL Cup,2,2,145,1.6,1,0,1,1,0,0,0,0,,,,,,,,0.62,0.00,0.62,0.62,0.62,,,,,,Matches,,,,,
Bertrand Traore,2021-2022,25,Aston Villa,eng ENG,EFL Cup,1,1,63,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Bertrand Traore,2022-2023,26,Başakşehir,,3. Conf Lg,6,3,302,3.4,1,1,2,1,0,0,1,0,1.1,1.1,0.2,1.3,16,23,35,0.30,0.30,0.60,0.30,0.60,0.33,0.05,0.38,0.33,0.38,Matches,,,,,
Bertrand Traore,2023-2024,27,Aston Villa,,3. Conf Lg,3,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,
Bertrand Traore,2024-2025,28,Ajax,nl NED,1. Eredivisie,17,9,825,9.2,5,2,7,5,0,0,0,0,3.2,3.2,1.3,4.4,61,56,136,0.55,0.22,0.76,0.55,0.76,0.35,0.14,0.49,0.35,0.49,Matches,,,,,
Wout Weghorst,2012-2013,19,Emmen,nl NED,2. Eerste Divisie,28,16,1670,18.6,8,0,8,8,0,0,6,0,,,,,,,,0.43,0.00,0.43,0.43,0.43,,,,,,,,,,,
Wout Weghorst,2013-2014,20,Emmen,nl NED,2. Eerste Divisie,34,10,1393,15.5,11,0,11,11,0,1,1,0,,,,,,,,0.71,0.00,0.71,0.71,0.71,,,,,,,,,,,
Wout Weghorst,2014-2015,21,Heracles Almelo,nl NED,1. Eredivisie,31,27,2427,27.0,8,5,13,8,0,0,6,0,,,,,,,,0.30,0.19,0.48,0.30,0.48,,,,,,Matches,,,,,
Wout Weghorst,2015-2016,22,Heracles Almelo,nl NED,1. Eredivisie,33,32,2750,30.6,12,0,12,11,1,1,3,0,,,,,,,,0.39,0.00,0.39,0.36,0.36,,,,,,Matches,,,,,
Wout Weghorst,2016-2017,23,AZ Alkmaar,nl NED,1. Eredivisie,29,23,2083,23.1,13,3,16,11,2,4,6,0,,,,,,,,0.56,0.13,0.69,0.48,0.60,,,,,,Matches,,,,,
