Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,MP,LgRank,MP,Matches,Matches
Oliver Edvardsen,2022-2023,23,Go Ahead Eag,nl NED,1. Eredivisie,,26,2031,22.6,7,1,8,7,0,0,3,0,5.3,5.3,1.7,7.0,43,44,126,0.31,0.04,0.35,0.31,0.35,0.24,0.07,0.31,0.24,0.31,,,11th,28,Matches,
Oliver Edvardsen,2023-2024,24,Go Ahead Eag,nl NED,1. Eredivisie,,30,2346,26.1,7,1,8,7,0,0,0,0,7.4,7.4,2.8,10.2,57,74,167,0.27,0.04,0.31,0.27,0.31,0.28,0.11,0.39,0.28,0.39,,,9th,33,Matches,
Oliver Edvardsen,2024-2025,25,Go Ahead Eag,nl NED,1. Eredivisie,,8,709,7.9,8,2,10,8,0,0,1,0,6.0,6.0,1.0,7.1,22,19,47,1.02,0.25,1.27,1.02,1.27,0.77,0.13,0.90,0.77,0.90,,,7th,12,Matches,
Aske Adelgaard,2022-2023,18,Odense,dk DEN,1. Danish Superliga,,16,1341,14.9,0,1,1,0,0,0,4,2,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,,,8th,22,Matches,
Aske Adelgaard,2023-2024,19,Odense,dk DEN,1. Danish Superliga,,13,1007,11.2,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.09,0.09,0.00,0.09,,,,,,,,11th,18,Matches,
Aske Adelgaard,2024-2025,20,Go Ahead Eag,nl NED,1. Eredivisie,,8,614,6.8,0,1,1,0,0,0,3,0,0.2,0.2,0.5,0.7,15,17,35,0.00,0.15,0.15,0.00,0.15,0.03,0.07,0.10,0.03,0.10,,,7th,10,Matches,
Calvin Twigt,2020-2021,17,Volendam,nl NED,2. Eerste Divisie,,4,396,4.4,0,1,1,0,0,0,2,1,,,,,,,,0.00,0.23,0.23,0.00,0.23,,,,,,,,6th,15,Matches,
Calvin Twigt,2021-2022,18,Volendam,nl NED,2. Eerste Divisie,,19,1497,16.6,1,1,2,1,0,0,3,0,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,,,2nd,24,Matches,
Calvin Twigt,2022-2023,19,Volendam,nl NED,1. Eredivisie,,16,1297,14.4,1,2,3,1,0,0,0,0,0.9,0.9,0.7,1.7,7,51,22,0.07,0.14,0.21,0.07,0.21,0.07,0.05,0.12,0.07,0.12,,,14th,16,Matches,
Calvin Twigt,2023-2024,20,Volendam,nl NED,1. Eredivisie,,22,2047,22.7,2,0,2,1,1,1,4,0,1.9,1.1,2.3,3.4,36,105,60,0.09,0.00,0.09,0.04,0.04,0.08,0.10,0.19,0.05,0.15,,,17th,26,Matches,
Calvin Twigt,2024-2025,21,Go Ahead Eag,nl NED,1. Eredivisie,,3,282,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,1,11,6,0.00,0.00,0.00,0.00,0.00,0.01,0.22,0.23,0.01,0.23,,,7th,8,Matches,
Finn Stokkers,2013-2014,17,Sparta R'dam,nl NED,2. Eerste Divisie,,5,448,5.0,3,1,4,3,0,0,1,0,,,,,,,,0.60,0.20,0.80,0.60,0.80,,,,,,,,16th,8,,
Finn Stokkers,2014-2015,18,Sparta R'dam,nl NED,2. Eerste Divisie,,0,22,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,8th,2,Matches,
Finn Stokkers,2015-2016,19,Sparta R'dam,nl NED,2. Eerste Divisie,,9,916,10.2,3,3,6,3,0,0,0,0,,,,,,,,0.29,0.29,0.59,0.29,0.59,,,,,,,,1st,28,Matches,
Finn Stokkers,2016-2017,20,Sparta R'dam,nl NED,1. Eredivisie,,0,47,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,15th,5,Matches,
Finn Stokkers,2017-2018,21,Fortuna Sittard,nl NED,2. Eerste Divisie,,38,3206,35.6,13,3,16,13,0,0,3,0,,,,,,,,0.36,0.08,0.45,0.36,0.45,,,,,,,,2nd,38,Matches,
Finn Stokkers,2018-2019,22,Fortuna Sittard,nl NED,1. Eredivisie,,10,974,10.8,5,1,6,5,0,0,0,0,2.6,2.6,1.0,3.5,18,19,75,0.46,0.09,0.55,0.46,0.55,0.24,0.09,0.33,0.24,0.33,,,15th,18,Matches,
Finn Stokkers,2019-2020,23,NAC Breda,nl NED,2. Eerste Divisie,,17,1508,16.8,6,1,7,6,0,0,2,0,,,,,,,,0.36,0.06,0.42,0.36,0.42,,,,,,,,5th,24,Matches,
Finn Stokkers,2020-2021,24,NAC Breda,nl NED,2. Eerste Divisie,,2,148,1.6,1,0,1,1,0,0,0,0,,,,,,,,0.61,0.00,0.61,0.61,0.61,,,,,,,,5th,2,Matches,
Finn Stokkers,2021-2022,25,RKC Waalwijk,nl NED,1. Eredivisie,,11,1119,12.4,4,4,8,4,0,0,0,0,3.0,3.0,3.6,6.5,18,28,115,0.32,0.32,0.64,0.32,0.64,0.24,0.29,0.52,0.24,0.52,,,10th,26,Matches,
Finn Stokkers,2022-2023,26,Go Ahead Eag,nl NED,1. Eredivisie,,11,1168,13.0,3,2,5,3,0,0,1,0,5.1,5.1,1.9,7.0,12,18,101,0.23,0.15,0.39,0.23,0.39,0.39,0.14,0.54,0.39,0.54,,,11th,24,Matches,
Finn Stokkers,2023-2024,27,Go Ahead Eag,nl NED,1. Eredivisie,,2,374,4.2,0,2,2,0,0,0,0,0,1.4,1.4,0.9,2.4,11,4,23,0.00,0.48,0.48,0.00,0.48,0.34,0.23,0.57,0.34,0.57,,,9th,14,Matches,
Finn Stokkers,2024-2025,28,Go Ahead Eag,nl NED,1. Eredivisie,,2,314,3.5,2,1,3,2,0,0,1,0,2.0,2.0,0.6,2.6,6,5,29,0.57,0.29,0.86,0.57,0.86,0.56,0.18,0.74,0.56,0.74,,,7th,14,Matches,
Jamal Amofa,2020-2021,21,ADO Den Haag,nl NED,1. Eredivisie,,5,458,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,18th,6,Matches,
Jamal Amofa,2021-2022,22,ADO Den Haag,nl NED,2. Eerste Divisie,,34,2974,33.0,0,1,1,0,0,0,6,0,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,4th,35,Matches,
Jamal Amofa,2022-2023,23,Go Ahead Eag,nl NED,1. Eredivisie,,27,2413,26.8,0,1,1,0,0,0,8,0,0.4,0.4,0.9,1.2,25,99,9,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.05,0.01,0.05,,,11th,31,Matches,
Jamal Amofa,2023-2024,24,Go Ahead Eag,nl NED,1. Eredivisie,,20,1669,18.5,1,0,1,1,0,0,7,1,0.3,0.3,0.3,0.6,25,71,4,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.03,,,9th,22,Matches,
Jamal Amofa,2024-2025,25,Go Ahead Eag,nl NED,1. Eredivisie,,2,158,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,,,7th,2,Matches,
Mathis Suray,2020-2021,19,Dordrecht,nl NED,2. Eerste Divisie,,6,693,7.7,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.13,0.13,0.00,0.13,,,,,,,,20th,16,Matches,
Mathis Suray,2021-2022,20,Dordrecht,nl NED,2. Eerste Divisie,,27,2350,26.1,5,1,6,5,0,0,5,1,,,,,,,,0.19,0.04,0.23,0.19,0.23,,,,,,,,17th,32,Matches,
Mathis Suray,2022-2023,21,Dordrecht,nl NED,2. Eerste Divisie,,25,2215,24.6,1,5,6,1,0,0,2,0,,,,,,,,0.04,0.20,0.24,0.04,0.24,,,,,,,,18th,26,Matches,
Mathis Suray,2023-2024,22,Dordrecht,nl NED,2. Eerste Divisie,,38,3337,37.1,13,6,19,11,2,2,4,0,,,,,,,,0.35,0.16,0.51,0.30,0.46,,,,,,,,4th,38,Matches,
Mathis Suray,2024-2025,23,Go Ahead Eag,nl NED,1. Eredivisie,,1,269,3.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,16,14,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.21,0.13,0.21,,,7th,13,Matches,
Milan Smit,2021-2022,18,Cambuur,nl NED,1. Eredivisie,,0,64,0.7,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,1,0,3,1.41,0.00,1.41,1.41,1.41,0.97,0.00,0.97,0.97,0.97,,,9th,4,Matches,
Milan Smit,2022-2023,19,Cambuur,nl NED,1. Eredivisie,,3,398,4.4,1,1,2,1,0,0,0,0,0.7,0.7,0.1,0.7,8,12,36,0.23,0.23,0.45,0.23,0.45,0.15,0.02,0.17,0.15,0.17,,,17th,13,Matches,
Milan Smit,2023-2024,20,Cambuur,nl NED,2. Eerste Divisie,,34,2976,33.1,19,5,24,11,8,8,8,0,,,,,,,,0.57,0.15,0.73,0.33,0.48,,,,,,,,13th,36,Matches,
Milan Smit,2024-2025,21,Cambuur,nl NED,2. Eerste Divisie,,3,270,3.0,1,0,1,1,0,1,0,0,,,,,,,,0.33,0.00,0.33,0.33,0.33,,,,,,,,6th,3,Matches,
Robbin Weijenberg,2022-2023,17,Go Ahead Eag,nl NED,1. Eredivisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11th,0,Matches,
Robbin Weijenberg,2023-2024,18,Go Ahead Eag,nl NED,1. Eredivisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th,0,Matches,
Robbin Weijenberg,2024-2025,19,Go Ahead Eag,nl NED,1. Eredivisie,,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.1,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.98,0.44,1.42,0.98,1.42,,,7th,7,Matches,
Julius Dirksen,2020-2021,17,Jong Ajax,nl NED,2. Eerste Divisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16th,0,Matches,
Julius Dirksen,2021-2022,18,Jong Ajax,nl NED,2. Eerste Divisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,0,Matches,
Julius Dirksen,2022-2023,19,Emmen,nl NED,1. Eredivisie,,15,1407,15.6,0,0,0,0,0,0,1,0,0.7,0.7,1.1,1.7,8,40,19,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,,,16th,27,Matches,
Julius Dirksen,2023-2024,20,Emmen,nl NED,2. Eerste Divisie,,29,2584,28.7,0,1,1,0,0,0,5,1,,,,,,,,0.00,0.03,0.03,0.00,0.03,,,,,,,,7th,34,Matches,
Julius Dirksen,2024-2025,21,Go Ahead Eag,nl NED,1. Eredivisie,,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.09,0.19,0.29,0.09,0.29,,,7th,2,Matches,
Jari De Busser,2016-2017,16,Lierse,be BEL,2. First Division B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd,0,,Matches
Jari De Busser,2017-2018,17,Lierse,be BEL,2. First Division B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4th,0,,Matches
Jari De Busser,2019-2020,19,Gent,be BEL,1. First Division A,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd,0,,Matches
Jari De Busser,2020-2021,20,Lommel SK,be BEL,2. First Division B,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd,0,,Matches
Jari De Busser,2021-2022,21,Lommel SK,be BEL,2. First Division B,,10,900,10.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,6th,10,,Matches
Jari De Busser,2022-2023,22,Lommel SK,be BEL,2. Pro League B,,18,1604,17.8,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,7th,18,,Matches
Jari De Busser,2023-2024,23,Lommel SK,be BEL,2. Pro League B,,26,2340,26.0,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.04,0.04,0.00,0.04,,,,,,,,4th,26,,Matches
Jari De Busser,2024-2025,24,Go Ahead Eag,nl NED,1. Eredivisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,0,,Matches
Pim Saathof,2022-2023,18,Go Ahead Eag,nl NED,1. Eredivisie,,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,,,11th,3,Matches,
Pim Saathof,2023-2024,19,Go Ahead Eag,nl NED,1. Eredivisie,,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9th,4,Matches,
Pim Saathof,2024-2025,20,Go Ahead Eag,nl NED,1. Eredivisie,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,0,Matches,
Ryan Fosso,2022-2023,20,Vaduz,,3. Conf Lg,6,4,309,3.4,0,0,0,0,0,0,3,0,0.9,0.9,0.2,1.1,1,9,6,0.00,0.00,0.00,0.00,0.00,0.25,0.06,0.31,0.25,0.31,Matches,,,,,
Ryan Fosso,2024-2025,22,Fortuna Sittard,nl NED,1. Eredivisie,15,15,1263,14.0,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.8,8,38,11,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,,,,,
Shawn Adewoye,2019-2020,19,Genk,be BEL,1. First Division A,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7th,0,Matches,
Shawn Adewoye,2020-2021,20,RKC Waalwijk,nl NED,1. Eredivisie,,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,15th,3,Matches,
Shawn Adewoye,2021-2022,21,RKC Waalwijk,nl NED,1. Eredivisie,,18,1717,19.1,0,0,0,0,0,0,5,1,0.3,0.3,0.3,0.5,11,45,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,,,10th,22,Matches,
Shawn Adewoye,2022-2023,22,RKC Waalwijk,nl NED,1. Eredivisie,,33,2931,32.6,1,1,2,1,0,0,7,0,1.7,1.7,0.7,2.4,25,88,7,0.03,0.03,0.06,0.03,0.06,0.05,0.02,0.07,0.05,0.07,,,9th,33,Matches,
Shawn Adewoye,2023-2024,23,RKC Waalwijk,nl NED,1. Eredivisie,,26,2338,26.0,1,0,1,1,0,0,1,1,1.3,1.3,0.4,1.7,26,97,3,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,,,15th,29,Matches,
Shawn Adewoye,2024-2025,24,Fortuna Sittard,nl NED,1. Eredivisie,,13,1178,13.1,1,0,1,1,0,0,2,0,1.1,1.1,0.1,1.1,9,36,0,0.08,0.00,0.08,0.08,0.08,0.08,0.00,0.09,0.08,0.09,,,8th,15,Matches,
Ezequiel Bullaude,2018-2019,17,Godoy Cruz,ar ARG,1. Liga Argentina,6,1,145,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,6,6,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13,Matches,,,,,
Ezequiel Bullaude,2019-2020,18,Godoy Cruz,ar ARG,1. Liga Argentina,2,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,,,,,
Ezequiel Bullaude,2022-2023,21,Feyenoord,nl NED,1. Eredivisie,9,0,152,1.7,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1.0,2,6,13,0.00,0.59,0.59,0.00,0.59,0.40,0.18,0.58,0.40,0.58,Matches,,,,,
Ezequiel Bullaude,2024-2025,23,Fortuna Sittard,nl NED,1. Eredivisie,14,13,1051,11.7,5,1,6,4,1,2,1,0,5.2,3.6,1.4,5.0,8,21,37,0.43,0.09,0.51,0.34,0.43,0.44,0.12,0.56,0.31,0.43,Matches,,,,,
Mitchell Dijks,2012-2013,19,Ajax,nl NED,1. Eredivisie,6,3,279,3.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Mitchell Dijks,2013-2014,20,Heerenveen,nl NED,1. Eredivisie,24,21,1728,19.2,0,1,1,0,0,0,3,2,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matches,,,,,
Mitchell Dijks,2014-2015,21,Jong Ajax,nl NED,2. Eerste Divisie,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,
Mitchell Dijks,2015-2016,22,Ajax,nl NED,1. Eredivisie,29,29,2491,27.7,0,6,6,0,0,0,5,0,,,,,,,,0.00,0.22,0.22,0.00,0.22,,,,,,Matches,,,,,
Mitchell Dijks,2016-2017,23,Norwich City,eng ENG,2. Championship,15,15,1259,14.0,1,0,1,1,0,0,2,1,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,Matches,,,,,
Mitchell Dijks,2017-2018,24,Jong Ajax,nl NED,2. Eerste Divisie,3,3,270,3.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Mitchell Dijks,2018-2019,25,Bologna,it ITA,Coppa Italia,3,3,265,2.9,1,0,1,1,0,0,0,0,,,,,,,,0.34,0.00,0.34,0.34,0.34,,,,,,Matches,,,,,
Mitchell Dijks,2019-2020,26,Bologna,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Mitchell Dijks,2020-2021,27,Bologna,it ITA,1. Serie A,20,18,1481,16.5,0,0,0,0,0,0,7,1,0.1,0.1,0.2,0.3,41,59,64,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches,,,,,
Mitchell Dijks,2021-2022,28,Bologna,it ITA,1. Serie A,16,7,694,7.7,0,2,2,0,0,0,2,0,0.7,0.7,1.1,1.8,21,15,24,0.00,0.26,0.26,0.00,0.26,0.09,0.15,0.23,0.09,0.23,Matches,,,,,
Mitchell Dijks,2022-2023,29,Vitesse,nl NED,1. Eredivisie,7,3,300,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,8,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,,,,,
Mitchell Dijks,2023-2024,30,Fortuna Sittard,nl NED,1. Eredivisie,31,27,2341,26.0,0,2,2,0,0,0,4,0,0.4,0.4,1.6,2.0,49,95,46,0.00,0.08,0.08,0.00,0.08,0.01,0.06,0.08,0.01,0.08,Matches,,,,,
Mitchell Dijks,2024-2025,31,Fortuna Sittard,nl NED,1. Eredivisie,13,12,978,10.9,0,3,3,0,0,0,0,0,0.0,0.0,0.7,0.7,24,40,24,0.00,0.28,0.28,0.00,0.28,0.00,0.07,0.07,0.00,0.07,Matches,,,,,
Samuel Bastien,2014-2015,17,Anderlecht,be BEL,1. Pro League,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Samuel Bastien,2015-2016,18,Avellino,it ITA,2. Serie B,31,21,1872,20.8,2,1,3,2,0,0,1,0,,,,,,,,0.10,0.05,0.14,0.10,0.14,,,,,,Matches,,,,,
Samuel Bastien,2016-2017,19,Chievo,it ITA,Coppa Italia,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Samuel Bastien,2017-2018,20,Chievo,it ITA,Coppa Italia,1,1,67,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Samuel Bastien,2018-2019,21,Standard Liège,,2. Europa Lg,4,2,187,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,15,7,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,,,,,
Samuel Bastien,2019-2020,22,Standard Liège,,2. Europa Lg,6,6,540,6.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,5,23,11,0.17,0.00,0.17,0.17,0.17,0.06,0.01,0.07,0.06,0.07,Matches,,,,,
Samuel Bastien,2020-2021,23,Standard Liège,,2. Europa Lg,6,5,464,5.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3,23,9,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,,,,,
Samuel Bastien,2021-2022,24,Standard Liège,be BEL,1. First Division A,28,19,1806,20.1,1,0,1,1,0,0,5,0,1.4,1.4,1.0,2.4,45,84,61,0.05,0.00,0.05,0.05,0.05,0.07,0.05,0.12,0.07,0.12,Matches,,,,,
Samuel Bastien,2022-2023,25,Burnley,eng ENG,2. Championship,18,7,551,6.1,1,1,2,1,0,0,0,0,0.8,0.8,0.5,1.2,8,24,33,0.16,0.16,0.33,0.16,0.33,0.12,0.08,0.20,0.12,0.20,Matches,,,,,
Samuel Bastien,2023-2024,26,Kasımpaşa,tr TUR,1. Süper Lig,7,1,220,2.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Samuel Bastien,2024-2025,27,Fortuna Sittard,nl NED,1. Eredivisie,16,11,1038,11.5,0,2,2,0,0,0,0,0,0.4,0.4,2.2,2.6,8,44,29,0.00,0.17,0.17,0.00,0.17,0.03,0.19,0.23,0.03,0.23,Matches,,,,,
Makan Aiko,2021-2022,20,Le Mans,fr FRA,Coupe de France,2,2,195,2.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Makan Aiko,2022-2023,21,Le Mans,fr FRA,Coupe de France,1,1,80,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Makan Aiko,2024-2025,23,Fortuna Sittard,nl NED,1. Eredivisie,14,9,826,9.2,1,0,1,1,0,0,4,0,3.1,3.1,0.3,3.4,11,1,40,0.11,0.00,0.11,0.11,0.11,0.34,0.03,0.37,0.34,0.37,Matches,,,,,
Jasper Dahlhaus,2020-2021,18,Willem II,nl NED,1. Eredivisie,,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14th,2,Matches,
Jasper Dahlhaus,2021-2022,19,FC Eindhoven,nl NED,2. Eerste Divisie,,26,2305,25.6,8,3,11,8,0,0,5,0,,,,,,,,0.31,0.12,0.43,0.31,0.43,,,,,,,,3rd,34,Matches,
Jasper Dahlhaus,2022-2023,20,FC Eindhoven,nl NED,2. Eerste Divisie,,33,2873,31.9,5,5,10,5,0,0,1,0,,,,,,,,0.16,0.16,0.31,0.16,0.31,,,,,,,,8th,34,Matches,
Jasper Dahlhaus,2023-2024,21,FC Eindhoven,nl NED,2. Eerste Divisie,,21,1942,21.6,1,1,2,1,0,0,2,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,,,14th,29,Matches,
Jasper Dahlhaus,2024-2025,22,Fortuna Sittard,nl NED,1. Eredivisie,,7,703,7.8,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.9,21,10,39,0.13,0.00,0.13,0.13,0.13,0.07,0.04,0.11,0.07,0.11,,,8th,14,Matches,
Josip Mitrovic,2019-2020,19,Inter Zaprešić,hr CRO,1. 1. HNL,,12,1285,14.3,1,0,1,1,0,0,6,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,,10th,27,Matches,
Josip Mitrovic,2020-2021,20,Gorica,hr CRO,1. 1. HNL,,9,947,10.5,4,,,4,0,0,3,0,,,,,,,,0.38,,,0.38,,,,,,,,,5th,26,Matches,
Josip Mitrovic,2021-2022,21,Gorica,hr CRO,1. 1. HNL,,24,2104,23.4,1,,,1,0,0,5,0,,,,,,,,0.04,,,0.04,,,,,,,,,6th,32,Matches,
Josip Mitrovic,2022-2023,22,Gorica,hr CRO,1. HNL,,26,2060,22.9,4,2,6,4,0,0,5,0,,,,,,,,0.17,0.09,0.26,0.17,0.26,,,,,,,,9th,30,Matches,
Josip Mitrovic,2023-2024,23,Gorica,hr CRO,1. HNL,,30,2407,26.7,4,4,8,4,0,0,3,1,,,,,,,,0.15,0.15,0.30,0.15,0.30,,,,,,,,7th,32,Matches,
Josip Mitrovic,2024-2025,24,Fortuna Sittard,nl NED,1. Eredivisie,,7,599,6.7,1,0,1,1,0,0,0,0,0.9,0.9,1.0,1.9,9,15,30,0.15,0.00,0.15,0.15,0.15,0.14,0.15,0.28,0.14,0.28,,,8th,14,Matches,
Syb Van Ottele,2020-2021,18,NEC Nijmegen,nl NED,2. Eerste Divisie,,6,551,6.1,0,0,0,0,0,1,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,7th,9,Matches,
Syb Van Ottele,2021-2022,19,Heerenveen,nl NED,1. Eredivisie,,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,8th,3,Matches,
Syb Van Ottele,2022-2023,20,Heerenveen,nl NED,1. Eredivisie,,12,1180,13.1,1,0,1,1,0,0,6,0,0.6,0.6,0.0,0.7,12,51,1,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,,,8th,20,Matches,
Syb Van Ottele,2023-2024,21,Heerenveen,nl NED,1. Eredivisie,,15,1429,15.9,0,1,1,0,0,0,1,0,1.0,1.0,0.7,1.7,26,72,8,0.00,0.06,0.06,0.00,0.06,0.07,0.04,0.11,0.07,0.11,,,11th,26,Matches,
Syb Van Ottele,2024-2025,22,Fortuna Sittard,nl NED,1. Eredivisie,,5,625,6.9,0,2,2,0,0,0,2,0,0.3,0.3,0.2,0.5,4,29,1,0.00,0.29,0.29,0.00,0.29,0.05,0.03,0.07,0.05,0.07,,,8th,15,Matches,
Alessio da Cruz,2014-2015,17,Jong Twente,nl NED,2. Eerste Divisie,6,1,133,1.5,1,0,1,1,0,0,0,0,,,,,,,,0.68,0.00,0.68,0.68,0.68,,,,,,Matches,,,,,
