Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,Playing Time : MP,LgRank
Alessandro Florenzi,2015-2016,24.0,Roma,,1. Champions Lg,8.0,8.0,646.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.14,0.0,0.14,0.14,0.14,,,,,,Matches,,
Alessandro Florenzi,2014-2015,23.0,Roma,,1. Champions Lg,6.0,3.0,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alessandro Florenzi,2013-2014,22.0,Roma,it ITA,1. Serie A,37.0,22.0,1893.0,21.0,6.0,7.0,13.0,6.0,0.0,0.0,4.0,0.0,,,,,,,,0.29,0.33,0.62,0.29,0.62,,,,,,Matches,,
Alessandro Florenzi,2016-2017,25.0,Roma,,2. Europa Lg,3.0,1.0,122.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.74,0.0,0.74,0.74,0.74,,,,,,Matches,,
Alessio da Cruz,2023-2024,26.0,Fortuna Sittard,nl NED,1. Eredivisie,15.0,3.0,401.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,1.7,1.7,8.0,6.0,26.0,0.22,0.22,0.45,0.22,0.45,0.02,0.37,0.39,0.02,0.39,Matches,,
Alessio da Cruz,2014-2015,17.0,Jong Twente,nl NED,2. Eerste Divisie,6.0,1.0,133.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.68,0.0,0.68,0.68,0.68,,,,,,Matches,,
Alessio da Cruz,2015-2016,18.0,Twente,nl NED,1. Eredivisie,3.0,1.0,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alessio da Cruz,2024-2025,27.0,Fortuna Sittard,nl NED,1. Eredivisie,9.0,5.0,456.0,5.1,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.9,1.9,0.7,2.6,2.0,2.0,17.0,0.59,0.2,0.79,0.59,0.79,0.37,0.15,0.51,0.37,0.51,Matches,,
Alessio da Cruz,2017-2018,20.0,Novara,it ITA,2. Serie B,19.0,16.0,1344.0,14.9,5.0,4.0,9.0,5.0,0.0,0.0,5.0,2.0,,,,,,,,0.33,0.27,0.6,0.33,0.6,,,,,,Matches,,
Alessio da Cruz,2022-2023,25.0,Mechelen,be BEL,1. Pro League A,28.0,23.0,1814.0,20.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,1.0,2.6,2.6,2.0,4.6,41.0,62.0,103.0,0.15,0.1,0.25,0.15,0.25,0.13,0.1,0.24,0.13,0.24,Matches,,
Alessio da Cruz,2018-2019,21.0,Parma,it ITA,Coppa Italia,1.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alessio da Cruz,2019-2020,22.0,Sheffield Weds,eng ENG,2. Championship,14.0,8.0,687.0,7.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,1.4,2.7,26.0,8.0,49.0,0.0,0.26,0.26,0.0,0.26,0.17,0.19,0.36,0.17,0.36,Matches,,
Alessio da Cruz,2020-2021,23.0,Groningen,nl NED,1. Eredivisie,22.0,18.0,1470.0,16.3,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,3.3,3.3,2.9,6.2,47.0,31.0,98.0,0.24,0.18,0.43,0.24,0.43,0.2,0.18,0.38,0.2,0.38,Matches,,
Alessio da Cruz,2021-2022,24.0,Santos,mx MEX,1. Liga MX,8.0,7.0,566.0,6.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.9,1.9,0.6,2.5,32.0,17.0,37.0,0.48,0.0,0.48,0.48,0.48,0.31,0.1,0.4,0.31,0.4,Matches,,
Alessio da Cruz,2016-2017,19.0,Dordrecht,nl NED,2. Eerste Divisie,29.0,21.0,1965.0,21.8,5.0,1.0,6.0,5.0,0.0,0.0,8.0,0.0,,,,,,,,0.23,0.05,0.27,0.23,0.27,,,,,,Matches,,
Alex Balboa,2021-2022,20.0,Alavés,es ESP,Copa del Rey,,1.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,1.0,
Alex Balboa,2024-2025,23.0,Almere City,nl NED,1. Eredivisie,,4.0,369.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.5,3.0,16.0,2.0,0.24,0.0,0.24,0.24,0.24,0.08,0.03,0.11,0.08,0.11,Matches,7.0,
Alex Balboa,2023-2024,22.0,Huesca,es ESP,Copa del Rey,,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,1.0,
Alex Balboa,2022-2023,21.0,Alavés,es ESP,Copa del Rey,,4.0,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,4.0,
Alex Carbonell,2017-2018,19.0,Reus,es ESP,2. La Liga 2,19.0,16.0,1330.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.0,1.5,24.0,77.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,,
Alex Carbonell,2018-2019,20.0,Reus,es ESP,Copa del Rey,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alex Carbonell,2019-2020,21.0,Fortuna Sittard,nl NED,1. Eredivisie,17.0,7.0,691.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.2,0.8,7.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11,Matches,,
Alex Carbonell,2020-2021,22.0,Luzern,ch SUI,1. Super Lg,9.0,7.0,471.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,0.0,0.19,0.19,0.0,0.19,,,,,,Matches,,
Alex Carbonell,2024-2025,26.0,Almere City,nl NED,1. Eredivisie,8.0,0.0,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,3.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,,
Alex Carbonell,2016-2017,18.0,Barcelona,es ESP,Copa del Rey,1.0,1.0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alex Carbonell,2023-2024,25.0,Amorebieta,es ESP,Copa del Rey,1.0,1.0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Alex Mortensen,2021-2022,19.0,Groningen,nl NED,1. Eredivisie,,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12th
